Areas,Count,Month,Type,Year,Disease
Total,4,Total,Cases,2016,Botulism
ZONE:01,0,Total,Cases,2016,Botulism
Chiang Mai,0,Total,Cases,2016,Botulism
Chiang Rai,0,Total,Cases,2016,Botulism
Lampang,0,Total,Cases,2016,Botulism
Lamphun,0,Total,Cases,2016,Botulism
Mae Hong Son,0,Total,Cases,2016,Botulism
Nan,0,Total,Cases,2016,Botulism
Phayao,0,Total,Cases,2016,Botulism
Phrae,0,Total,Cases,2016,Botulism
ZONE:02,0,Total,Cases,2016,Botulism
Phetchabun,0,Total,Cases,2016,Botulism
Phitsanulok,0,Total,Cases,2016,Botulism
Sukhothai,0,Total,Cases,2016,Botulism
Tak,0,Total,Cases,2016,Botulism
Uttaradit,0,Total,Cases,2016,Botulism
ZONE:03,0,Total,Cases,2016,Botulism
Chai Nat,0,Total,Cases,2016,Botulism
Kamphaeng Phet,0,Total,Cases,2016,Botulism
Nakhon Sawan,0,Total,Cases,2016,Botulism
Phichit,0,Total,Cases,2016,Botulism
Uthai Thani,0,Total,Cases,2016,Botulism
ZONE:04,0,Total,Cases,2016,Botulism
Ang Thong,0,Total,Cases,2016,Botulism
Lop Buri,0,Total,Cases,2016,Botulism
Nakhon Nayok,0,Total,Cases,2016,Botulism
Nonthaburi,0,Total,Cases,2016,Botulism
P.Nakhon S.Ayutthaya,0,Total,Cases,2016,Botulism
Pathum Thani,0,Total,Cases,2016,Botulism
Saraburi,0,Total,Cases,2016,Botulism
Sing Buri,0,Total,Cases,2016,Botulism
ZONE:05,0,Total,Cases,2016,Botulism
Kanchanaburi,0,Total,Cases,2016,Botulism
Nakhon Pathom,0,Total,Cases,2016,Botulism
Phetchaburi,0,Total,Cases,2016,Botulism
Prachuap Khiri Khan,0,Total,Cases,2016,Botulism
Ratchaburi,0,Total,Cases,2016,Botulism
Samut Sakhon,0,Total,Cases,2016,Botulism
Samut Songkhram,0,Total,Cases,2016,Botulism
Suphan Buri,0,Total,Cases,2016,Botulism
ZONE:06,0,Total,Cases,2016,Botulism
Chachoengsao,0,Total,Cases,2016,Botulism
Chanthaburi,0,Total,Cases,2016,Botulism
Chon Buri,0,Total,Cases,2016,Botulism
Prachin Buri,0,Total,Cases,2016,Botulism
Rayong,0,Total,Cases,2016,Botulism
Sa Kaeo,0,Total,Cases,2016,Botulism
Samut Prakan,0,Total,Cases,2016,Botulism
Trat,0,Total,Cases,2016,Botulism
ZONE:07,0,Total,Cases,2016,Botulism
Kalasin,0,Total,Cases,2016,Botulism
