Areas,Count,Month,Type,Year,Disease
Total,10,,Cases,2013,Brucellosis
Central Region,10,,Cases,2013,Brucellosis
Zone:0,0,,Cases,2013,Brucellosis
Bangkok,0,,Cases,2013,Brucellosis
Zone:1,0,,Cases,2013,Brucellosis
Nonthaburi,0,,Cases,2013,Brucellosis
P.Nakhon S.Ayutthaya,0,,Cases,2013,Brucellosis
Pathum Thani,0,,Cases,2013,Brucellosis
Saraburi,0,,Cases,2013,Brucellosis
Zone:2,0,,Cases,2013,Brucellosis
Ang Thong,0,,Cases,2013,Brucellosis
Chai Nat,0,,Cases,2013,Brucellosis
Lop Buri,0,,Cases,2013,Brucellosis
Sing Buri,0,,Cases,2013,Brucellosis
Zone:3,0,,Cases,2013,Brucellosis
Chachoengsao,0,,Cases,2013,Brucellosis
Nakhon Nayok,0,,Cases,2013,Brucellosis
Prachin Buri,0,,Cases,2013,Brucellosis
Sa Kaeo,0,,Cases,2013,Brucellosis
Samut Prakan,0,,Cases,2013,Brucellosis
Zone:4,5,,Cases,2013,Brucellosis
Kanchanaburi,2,,Cases,2013,Brucellosis
Nakhon Pathom,0,,Cases,2013,Brucellosis
Ratchaburi,3,,Cases,2013,Brucellosis
Suphan Buri,0,,Cases,2013,Brucellosis
Zone:5,4,,Cases,2013,Brucellosis
Phetchaburi,3,,Cases,2013,Brucellosis
Prachuap Khiri Khan,1,,Cases,2013,Brucellosis
Samut Sakhon,0,,Cases,2013,Brucellosis
Samut Songkhram,0,,Cases,2013,Brucellosis
Zone:9,1,,Cases,2013,Brucellosis
Chanthaburi,0,,Cases,2013,Brucellosis
Chon Buri,0,,Cases,2013,Brucellosis
Rayong,1,,Cases,2013,Brucellosis
Trat,0,,Cases,2013,Brucellosis
South Region,0,,Cases,2013,Brucellosis
Zone:6,0,,Cases,2013,Brucellosis
Chumphon,0,,Cases,2013,Brucellosis
Nakhon Si Thammarat,0,,Cases,2013,Brucellosis
Phatthalung,0,,Cases,2013,Brucellosis
Surat Thani,0,,Cases,2013,Brucellosis
Zone:7,0,,Cases,2013,Brucellosis
Krabi,0,,Cases,2013,Brucellosis
Phangnga,0,,Cases,2013,Brucellosis
Phuket,0,,Cases,2013,Brucellosis
Ranong,0,,Cases,2013,Brucellosis
Trang,0,,Cases,2013,Brucellosis
Zone:8,0,,Cases,2013,Brucellosis
Narathiwat,0,,Cases,2013,Brucellosis
Pattani,0,,Cases,2013,Brucellosis
Satun,0,,Cases,2013,Brucellosis
Songkhla,0,,Cases,2013,Brucellosis
Yala,0,,Cases,2013,Brucellosis
North-Eastern Region,0,,Cases,2013,Brucellosis
Zone:10,0,,Cases,2013,Brucellosis
Bungkan,0,,Cases,2013,Brucellosis
Loei,0,,Cases,2013,Brucellosis
Nong Bua Lam Phu,0,,Cases,2013,Brucellosis
Nong Khai,0,,Cases,2013,Brucellosis
Udon Thani,0,,Cases,2013,Brucellosis
Zone:11,0,,Cases,2013,Brucellosis
Mukdahan,0,,Cases,2013,Brucellosis
Nakhon Phanom,0,,Cases,2013,Brucellosis
Sakon Nakhon,0,,Cases,2013,Brucellosis
Zone:12,0,,Cases,2013,Brucellosis
Kalasin,0,,Cases,2013,Brucellosis
Khon Kaen,0,,Cases,2013,Brucellosis
Maha Sarakham,0,,Cases,2013,Brucellosis
Roi Et,0,,Cases,2013,Brucellosis
Zone:13,0,,Cases,2013,Brucellosis
Amnat Charoen,0,,Cases,2013,Brucellosis
Si Sa Ket,0,,Cases,2013,Brucellosis
Ubon Ratchathani,0,,Cases,2013,Brucellosis
Yasothon,0,,Cases,2013,Brucellosis
Zone:14,0,,Cases,2013,Brucellosis
Buri Ram,0,,Cases,2013,Brucellosis
Chaiyaphum,0,,Cases,2013,Brucellosis
Nakhon Ratchasima,0,,Cases,2013,Brucellosis
Surin,0,,Cases,2013,Brucellosis
North Region,0,,Cases,2013,Brucellosis
Zone:15,0,,Cases,2013,Brucellosis
Chiang Mai,0,,Cases,2013,Brucellosis
Lampang,0,,Cases,2013,Brucellosis
Lamphun,0,,Cases,2013,Brucellosis
Mae Hong Son,0,,Cases,2013,Brucellosis
Zone:16,0,,Cases,2013,Brucellosis
Chiang Rai,0,,Cases,2013,Brucellosis
Nan,0,,Cases,2013,Brucellosis
Phayao,0,,Cases,2013,Brucellosis
Phrae,0,,Cases,2013,Brucellosis
Zone:17,0,,Cases,2013,Brucellosis
Phetchabun,0,,Cases,2013,Brucellosis
Phitsanulok,0,,Cases,2013,Brucellosis
Sukhothai,0,,Cases,2013,Brucellosis
Tak,0,,Cases,2013,Brucellosis
Uttaradit,0,,Cases,2013,Brucellosis
Zone:18,0,,Cases,2013,Brucellosis
Kamphaeng Phet,0,,Cases,2013,Brucellosis
Nakhon Sawan,0,,Cases,2013,Brucellosis
Phichit,0,,Cases,2013,Brucellosis
Uthai Thani,0,,Cases,2013,Brucellosis
Total,0,,Deaths,2013,Brucellosis
Central Region,0,,Deaths,2013,Brucellosis
Zone:0,0,,Deaths,2013,Brucellosis
