Areas,Cases,Incidence,Deaths,CFR,Mortality,Population,Year,Disease
Total,631,0.97,0,0.00,0.00,64955313,2014,STDChancroid
ZONE:00,34,0.60,0,0.00,0.00,5689268,2014,STDChancroid
Bangkok,34,0.60,0,0.00,0.00,5689268,2014,STDChancroid
ZONE:01,78,1.37,0,0.00,0.00,5704200,2014,STDChancroid
Chiang Mai,24,1.43,0,0.00,0.00,1672586,2014,STDChancroid
Chiang Rai,27,2.24,0,0.00,0.00,1206180,2014,STDChancroid
Lampang,6,0.80,0,0.00,0.00,753937,2014,STDChancroid
Lamphun,1,0.25,0,0.00,0.00,405368,2014,STDChancroid
Mae Hong Son,4,1.62,0,0.00,0.00,247364,2014,STDChancroid
Nan,6,1.25,0,0.00,0.00,478088,2014,STDChancroid
Phayao,8,1.65,0,0.00,0.00,485599,2014,STDChancroid
Phrae,2,0.44,0,0.00,0.00,455078,2014,STDChancroid
ZONE:02,41,1.19,0,0.00,0.00,3452021,2014,STDChancroid
Phetchabun,10,1.00,0,0.00,0.00,995102,2014,STDChancroid
Phitsanulok,19,2.22,0,0.00,0.00,857682,2014,STDChancroid
Sukhothai,4,0.66,0,0.00,0.00,602586,2014,STDChancroid
Tak,8,1.49,0,0.00,0.00,535953,2014,STDChancroid
Uttaradit,0,0.00,0,0.00,0.00,460698,2014,STDChancroid
ZONE:03,33,1.10,0,0.00,0.00,3012608,2014,STDChancroid
Chai Nat,1,0.30,0,0.00,0.00,332526,2014,STDChancroid
Kamphaeng Phet,14,1.92,0,0.00,0.00,729076,2014,STDChancroid
Nakhon Sawan,9,0.84,0,0.00,0.00,1072949,2014,STDChancroid
Phichit,5,0.91,0,0.00,0.00,548199,2014,STDChancroid
Uthai Thani,4,1.21,0,0.00,0.00,329858,2014,STDChancroid
ZONE:04,43,0.83,0,0.00,0.00,5171756,2014,STDChancroid
Ang Thong,1,0.35,0,0.00,0.00,283650,2014,STDChancroid
Lop Buri,12,1.58,0,0.00,0.00,758188,2014,STDChancroid
Nakhon Nayok,2,0.78,0,0.00,0.00,256693,2014,STDChancroid
Nonthaburi,9,0.77,0,0.00,0.00,1165070,2014,STDChancroid
P.Nakhon S.Ayutthaya,3,0.37,0,0.00,0.00,800785,2014,STDChancroid
Pathum Thani,10,0.94,0,0.00,0.00,1063608,2014,STDChancroid
Saraburi,4,0.63,0,0.00,0.00,631338,2014,STDChancroid
Sing Buri,2,0.94,0,0.00,0.00,212424,2014,STDChancroid
ZONE:05,31,0.60,0,0.00,0.00,5147569,2014,STDChancroid
Kanchanaburi,2,0.24,0,0.00,0.00,845540,2014,STDChancroid
Nakhon Pathom,3,0.34,0,0.00,0.00,886627,2014,STDChancroid
Phetchaburi,6,1.27,0,0.00,0.00,472640,2014,STDChancroid
Prachuap Khiri Khan,5,0.96,0,0.00,0.00,522689,2014,STDChancroid
Ratchaburi,4,0.47,0,0.00,0.00,851689,2014,STDChancroid
Samut Sakhon,5,0.95,0,0.00,0.00,525672,2014,STDChancroid
Samut Songkhram,0,0.00,0,0.00,0.00,194153,2014,STDChancroid
Suphan Buri,6,0.71,0,0.00,0.00,848559,2014,STDChancroid
ZONE:06,102,1.76,0,0.00,0.00,5797595,2014,STDChancroid
Chachoengsao,15,2.16,0,0.00,0.00,692852,2014,STDChancroid
Chanthaburi,7,1.33,0,0.00,0.00,525805,2014,STDChancroid
Chon Buri,17,1.21,0,0.00,0.00,1405889,2014,STDChancroid
