Areas,Age,Cases,Year,Disease
Total,Total,6,2018,Cholera
ZONE:01,Total,0,2018,Cholera
Chiang Mai,Total,0,2018,Cholera
Chiang Rai,Total,0,2018,Cholera
Lampang,Total,0,2018,Cholera
Lamphun,Total,0,2018,Cholera
Mae Hong Son,Total,0,2018,Cholera
Nan,Total,0,2018,Cholera
Phayao,Total,0,2018,Cholera
Phrae,Total,0,2018,Cholera
ZONE:02,Total,0,2018,Cholera
Phetchabun,Total,0,2018,Cholera
Phitsanulok,Total,0,2018,Cholera
Sukhothai,Total,0,2018,Cholera
Tak,Total,0,2018,Cholera
Uttaradit,Total,0,2018,Cholera
ZONE:03,Total,0,2018,Cholera
Chai Nat,Total,0,2018,Cholera
Kamphaeng Phet,Total,0,2018,Cholera
Nakhon Sawan,Total,0,2018,Cholera
Phichit,Total,0,2018,Cholera
Uthai Thani,Total,0,2018,Cholera
ZONE:04,Total,0,2018,Cholera
Ang Thong,Total,0,2018,Cholera
Lop Buri,Total,0,2018,Cholera
Nakhon Nayok,Total,0,2018,Cholera
Nonthaburi,Total,0,2018,Cholera
P.Nakhon S.Ayutthaya,Total,0,2018,Cholera
Pathum Thani,Total,0,2018,Cholera
Saraburi,Total,0,2018,Cholera
Sing Buri,Total,0,2018,Cholera
ZONE:05,Total,0,2018,Cholera
Kanchanaburi,Total,0,2018,Cholera
Nakhon Pathom,Total,0,2018,Cholera
Phetchaburi,Total,0,2018,Cholera
Prachuap Khiri Khan,Total,0,2018,Cholera
Ratchaburi,Total,0,2018,Cholera
Samut Sakhon,Total,0,2018,Cholera
Samut Songkhram,Total,0,2018,Cholera
Suphan Buri,Total,0,2018,Cholera
ZONE:06,Total,0,2018,Cholera
Chachoengsao,Total,0,2018,Cholera
Chanthaburi,Total,0,2018,Cholera
Chon Buri,Total,0,2018,Cholera
Prachin Buri,Total,0,2018,Cholera
Rayong,Total,0,2018,Cholera
Sa Kaeo,Total,0,2018,Cholera
Samut Prakan,Total,0,2018,Cholera
Trat,Total,0,2018,Cholera
ZONE:07,Total,1,2018,Cholera
Kalasin,Total,0,2018,Cholera
Khon Kaen,Total,1,2018,Cholera
Maha Sarakham,Total,0,2018,Cholera
Roi Et,Total,0,2018,Cholera
ZONE:08,Total,0,2018,Cholera
Bungkan,Total,0,2018,Cholera
Loei,Total,0,2018,Cholera
Nakhon Phanom,Total,0,2018,Cholera
