Areas,Count,Month,Type,Year,Disease
Total,109070,Total,Cases,2010,Foodpoi
Central Region,21123,Total,Cases,2010,Foodpoi
Zone:0,3273,Total,Cases,2010,Foodpoi
Bangkok,3273,Total,Cases,2010,Foodpoi
Zone:1,3228,Total,Cases,2010,Foodpoi
Nonthaburi,979,Total,Cases,2010,Foodpoi
P.Nakhon S.Ayutthaya,1461,Total,Cases,2010,Foodpoi
Pathum Thani,564,Total,Cases,2010,Foodpoi
Saraburi,224,Total,Cases,2010,Foodpoi
Zone:2,1539,Total,Cases,2010,Foodpoi
Ang Thong,211,Total,Cases,2010,Foodpoi
Chai Nat,257,Total,Cases,2010,Foodpoi
Lop Buri,833,Total,Cases,2010,Foodpoi
Sing Buri,238,Total,Cases,2010,Foodpoi
Zone:3,4324,Total,Cases,2010,Foodpoi
Chachoengsao,1051,Total,Cases,2010,Foodpoi
Nakhon Nayok,447,Total,Cases,2010,Foodpoi
Prachin Buri,1210,Total,Cases,2010,Foodpoi
Sa Kaeo,556,Total,Cases,2010,Foodpoi
Samut Prakan,1060,Total,Cases,2010,Foodpoi
Zone:4,3129,Total,Cases,2010,Foodpoi
Kanchanaburi,522,Total,Cases,2010,Foodpoi
Nakhon Pathom,923,Total,Cases,2010,Foodpoi
Ratchaburi,1013,Total,Cases,2010,Foodpoi
Suphan Buri,671,Total,Cases,2010,Foodpoi
Zone:5,1749,Total,Cases,2010,Foodpoi
Phetchaburi,615,Total,Cases,2010,Foodpoi
Prachuap Khiri Khan,748,Total,Cases,2010,Foodpoi
Samut Sakhon,288,Total,Cases,2010,Foodpoi
Samut Songkhram,98,Total,Cases,2010,Foodpoi
Zone:9,3881,Total,Cases,2010,Foodpoi
Chanthaburi,1012,Total,Cases,2010,Foodpoi
Chon Buri,1133,Total,Cases,2010,Foodpoi
Rayong,1180,Total,Cases,2010,Foodpoi
Trat,556,Total,Cases,2010,Foodpoi
South Region,5327,Total,Cases,2010,Foodpoi
Zone:6,1975,Total,Cases,2010,Foodpoi
Chumphon,176,Total,Cases,2010,Foodpoi
Nakhon Si Thammarat,988,Total,Cases,2010,Foodpoi
Phatthalung,265,Total,Cases,2010,Foodpoi
Surat Thani,546,Total,Cases,2010,Foodpoi
Zone:7,1417,Total,Cases,2010,Foodpoi
Krabi,112,Total,Cases,2010,Foodpoi
Phangnga,352,Total,Cases,2010,Foodpoi
Phuket,553,Total,Cases,2010,Foodpoi
Ranong,103,Total,Cases,2010,Foodpoi
Trang,297,Total,Cases,2010,Foodpoi
Zone:8,1935,Total,Cases,2010,Foodpoi
Narathiwat,154,Total,Cases,2010,Foodpoi
Pattani,248,Total,Cases,2010,Foodpoi
Satun,65,Total,Cases,2010,Foodpoi
Songkhla,1245,Total,Cases,2010,Foodpoi
Yala,223,Total,Cases,2010,Foodpoi
North-Eastern Region,55252,Total,Cases,2010,Foodpoi
Zone:10,7923,Total,Cases,2010,Foodpoi
Loei,883,Total,Cases,2010,Foodpoi
Nong Bua Lam Phu,989,Total,Cases,2010,Foodpoi
Nong Khai,1481,Total,Cases,2010,Foodpoi
Udon Thani,4570,Total,Cases,2010,Foodpoi
Zone:11,4734,Total,Cases,2010,Foodpoi
Mukdahan,945,Total,Cases,2010,Foodpoi
Nakhon Phanom,2925,Total,Cases,2010,Foodpoi
Sakon Nakhon,864,Total,Cases,2010,Foodpoi
Zone:12,15289,Total,Cases,2010,Foodpoi
Kalasin,3315,Total,Cases,2010,Foodpoi
Khon Kaen,6658,Total,Cases,2010,Foodpoi
Maha Sarakham,1567,Total,Cases,2010,Foodpoi
Roi Et,3749,Total,Cases,2010,Foodpoi
Zone:13,13023,Total,Cases,2010,Foodpoi
Amnat Charoen,1674,Total,Cases,2010,Foodpoi
Si Sa Ket,3624,Total,Cases,2010,Foodpoi
Ubon Ratchathani,6659,Total,Cases,2010,Foodpoi
Yasothon,1066,Total,Cases,2010,Foodpoi
Zone:14,14283,Total,Cases,2010,Foodpoi
Buri Ram,5995,Total,Cases,2010,Foodpoi
Chaiyaphum,1372,Total,Cases,2010,Foodpoi
Nakhon Ratchasima,3849,Total,Cases,2010,Foodpoi
Surin,3067,Total,Cases,2010,Foodpoi
North Region,27368,Total,Cases,2010,Foodpoi
Zone:15,8133,Total,Cases,2010,Foodpoi
Chiang Mai,3532,Total,Cases,2010,Foodpoi
Lampang,3073,Total,Cases,2010,Foodpoi
Lamphun,820,Total,Cases,2010,Foodpoi
Mae Hong Son,708,Total,Cases,2010,Foodpoi
Zone:16,7262,Total,Cases,2010,Foodpoi
Chiang Rai,3833,Total,Cases,2010,Foodpoi
Nan,684,Total,Cases,2010,Foodpoi
Phayao,1545,Total,Cases,2010,Foodpoi
Phrae,1200,Total,Cases,2010,Foodpoi
Zone:17,7736,Total,Cases,2010,Foodpoi
Phetchabun,2041,Total,Cases,2010,Foodpoi
Phitsanulok,3235,Total,Cases,2010,Foodpoi
Sukhothai,919,Total,Cases,2010,Foodpoi
Tak,603,Total,Cases,2010,Foodpoi
Uttaradit,938,Total,Cases,2010,Foodpoi
Zone:18,4237,Total,Cases,2010,Foodpoi
Kamphaeng Phet,640,Total,Cases,2010,Foodpoi
Nakhon Sawan,2270,Total,Cases,2010,Foodpoi
Phichit,765,Total,Cases,2010,Foodpoi
Uthai Thani,562,Total,Cases,2010,Foodpoi
Total,4,Total,Deaths,2010,Foodpoi
Central Region,0,Total,Deaths,2010,Foodpoi
Zone:0,0,Total,Deaths,2010,Foodpoi
Bangkok,0,Total,Deaths,2010,Foodpoi
Zone:1,0,Total,Deaths,2010,Foodpoi
Nonthaburi,0,Total,Deaths,2010,Foodpoi
P.Nakhon S.Ayutthaya,0,Total,Deaths,2010,Foodpoi
Pathum Thani,0,Total,Deaths,2010,Foodpoi
Saraburi,0,Total,Deaths,2010,Foodpoi
Zone:2,0,Total,Deaths,2010,Foodpoi
Ang Thong,0,Total,Deaths,2010,Foodpoi
Chai Nat,0,Total,Deaths,2010,Foodpoi
Lop Buri,0,Total,Deaths,2010,Foodpoi
Sing Buri,0,Total,Deaths,2010,Foodpoi
