Areas,Count,Month,Type,Year,Disease
Total,1048,Total,Cases,2008,Genital Herpes Simplex
Central Region,358,Total,Cases,2008,Genital Herpes Simplex
Bangkok,144,Total,Cases,2008,Genital Herpes Simplex
Zone: 1,17,Total,Cases,2008,Genital Herpes Simplex
Nonthaburi,11,Total,Cases,2008,Genital Herpes Simplex
P.Nakhon S.Ayutthaya,5,Total,Cases,2008,Genital Herpes Simplex
Pathum Thani,1,Total,Cases,2008,Genital Herpes Simplex
Saraburi,0,Total,Cases,2008,Genital Herpes Simplex
Zone: 2,11,Total,Cases,2008,Genital Herpes Simplex
Ang Thong,5,Total,Cases,2008,Genital Herpes Simplex
Chai Nat,5,Total,Cases,2008,Genital Herpes Simplex
Lop Buri,1,Total,Cases,2008,Genital Herpes Simplex
Sing Buri,0,Total,Cases,2008,Genital Herpes Simplex
Zone: 3,46,Total,Cases,2008,Genital Herpes Simplex
Chachoengsao,5,Total,Cases,2008,Genital Herpes Simplex
Nakhon Nayok,8,Total,Cases,2008,Genital Herpes Simplex
Prachin Buri,1,Total,Cases,2008,Genital Herpes Simplex
Sa Kaeo,6,Total,Cases,2008,Genital Herpes Simplex
Samut Prakan,26,Total,Cases,2008,Genital Herpes Simplex
Zone: 4,18,Total,Cases,2008,Genital Herpes Simplex
Kanchanaburi,5,Total,Cases,2008,Genital Herpes Simplex
Nakhon Pathom,2,Total,Cases,2008,Genital Herpes Simplex
Ratchaburi,5,Total,Cases,2008,Genital Herpes Simplex
Suphan Buri,6,Total,Cases,2008,Genital Herpes Simplex
Zone: 5,55,Total,Cases,2008,Genital Herpes Simplex
Phetchaburi,15,Total,Cases,2008,Genital Herpes Simplex
Prachuap Khiri Khan,36,Total,Cases,2008,Genital Herpes Simplex
Samut Sakhon,4,Total,Cases,2008,Genital Herpes Simplex
Samut Songkhram,0,Total,Cases,2008,Genital Herpes Simplex
Zone: 9,67,Total,Cases,2008,Genital Herpes Simplex
Chanthaburi,24,Total,Cases,2008,Genital Herpes Simplex
Chon Buri,11,Total,Cases,2008,Genital Herpes Simplex
Rayong,29,Total,Cases,2008,Genital Herpes Simplex
Trat,3,Total,Cases,2008,Genital Herpes Simplex
South Region,119,Total,Cases,2008,Genital Herpes Simplex
Zone: 6,12,Total,Cases,2008,Genital Herpes Simplex
Chumphon,3,Total,Cases,2008,Genital Herpes Simplex
Nakhon Si Thammarat,0,Total,Cases,2008,Genital Herpes Simplex
Phatthalung,1,Total,Cases,2008,Genital Herpes Simplex
Surat Thani,8,Total,Cases,2008,Genital Herpes Simplex
Zone: 7,102,Total,Cases,2008,Genital Herpes Simplex
Krabi,19,Total,Cases,2008,Genital Herpes Simplex
Phangnga,0,Total,Cases,2008,Genital Herpes Simplex
Phuket,68,Total,Cases,2008,Genital Herpes Simplex
Ranong,11,Total,Cases,2008,Genital Herpes Simplex
Trang,4,Total,Cases,2008,Genital Herpes Simplex
Zone: 8,5,Total,Cases,2008,Genital Herpes Simplex
Narathiwat,3,Total,Cases,2008,Genital Herpes Simplex
Pattani,0,Total,Cases,2008,Genital Herpes Simplex
Satun,0,Total,Cases,2008,Genital Herpes Simplex
Songkhla,1,Total,Cases,2008,Genital Herpes Simplex
Yala,1,Total,Cases,2008,Genital Herpes Simplex
North-Eastern Region,85,Total,Cases,2008,Genital Herpes Simplex
Zone: 10,27,Total,Cases,2008,Genital Herpes Simplex
Loei,1,Total,Cases,2008,Genital Herpes Simplex
Nong Bua Lam Phu,0,Total,Cases,2008,Genital Herpes Simplex
Nong Khai,11,Total,Cases,2008,Genital Herpes Simplex
Udon Thani,15,Total,Cases,2008,Genital Herpes Simplex
Zone: 11,9,Total,Cases,2008,Genital Herpes Simplex
Mukdahan,2,Total,Cases,2008,Genital Herpes Simplex
Nakhon Phanom,1,Total,Cases,2008,Genital Herpes Simplex
Sakon Nakhon,6,Total,Cases,2008,Genital Herpes Simplex
Zone: 12,28,Total,Cases,2008,Genital Herpes Simplex
Kalasin,1,Total,Cases,2008,Genital Herpes Simplex
Khon Kaen,25,Total,Cases,2008,Genital Herpes Simplex
Maha Sarakham,2,Total,Cases,2008,Genital Herpes Simplex
Roi Et,0,Total,Cases,2008,Genital Herpes Simplex
Zone: 13,17,Total,Cases,2008,Genital Herpes Simplex
Amnat Charoen,0,Total,Cases,2008,Genital Herpes Simplex
Si Sa Ket,0,Total,Cases,2008,Genital Herpes Simplex
Ubon Ratchathani,17,Total,Cases,2008,Genital Herpes Simplex
Yasothon,0,Total,Cases,2008,Genital Herpes Simplex
Zone: 14,4,Total,Cases,2008,Genital Herpes Simplex
Buri Ram,1,Total,Cases,2008,Genital Herpes Simplex
Chaiyaphum,2,Total,Cases,2008,Genital Herpes Simplex
Nakhon Ratchasima,0,Total,Cases,2008,Genital Herpes Simplex
Surin,1,Total,Cases,2008,Genital Herpes Simplex
North Region,486,Total,Cases,2008,Genital Herpes Simplex
Zone: 15,71,Total,Cases,2008,Genital Herpes Simplex
Chiang Mai,15,Total,Cases,2008,Genital Herpes Simplex
Lampang,48,Total,Cases,2008,Genital Herpes Simplex
Lamphun,5,Total,Cases,2008,Genital Herpes Simplex
Mae Hong Son,3,Total,Cases,2008,Genital Herpes Simplex
Zone: 16,109,Total,Cases,2008,Genital Herpes Simplex
Chiang Rai,74,Total,Cases,2008,Genital Herpes Simplex
Nan,2,Total,Cases,2008,Genital Herpes Simplex
Phayao,33,Total,Cases,2008,Genital Herpes Simplex
Phrae,0,Total,Cases,2008,Genital Herpes Simplex
Zone: 17,184,Total,Cases,2008,Genital Herpes Simplex
Phetchabun,57,Total,Cases,2008,Genital Herpes Simplex
Phitsanulok,98,Total,Cases,2008,Genital Herpes Simplex
Sukhothai,16,Total,Cases,2008,Genital Herpes Simplex
Tak,2,Total,Cases,2008,Genital Herpes Simplex
Uttaradit,11,Total,Cases,2008,Genital Herpes Simplex
Zone: 18,122,Total,Cases,2008,Genital Herpes Simplex
Kamphaeng Phet,27,Total,Cases,2008,Genital Herpes Simplex
Nakhon Sawan,54,Total,Cases,2008,Genital Herpes Simplex
Phichit,1,Total,Cases,2008,Genital Herpes Simplex
Uthai Thani,40,Total,Cases,2008,Genital Herpes Simplex
Total,0,Total,Deaths,2008,Genital Herpes Simplex
