Areas,Age,Cases,Year,Disease
Total,Total,5,2007,HepatitisB
North Region,Total,0,2007,HepatitisB
Zone: 1,Total,0,2007,HepatitisB
Chiang Mai,Total,0,2007,HepatitisB
Chiang Rai,Total,0,2007,HepatitisB
Lampang,Total,0,2007,HepatitisB
Lamphun,Total,0,2007,HepatitisB
Mae Hong Son,Total,0,2007,HepatitisB
Nan,Total,0,2007,HepatitisB
Phayao,Total,0,2007,HepatitisB
Phrae,Total,0,2007,HepatitisB
Zone: 2,Total,0,2007,HepatitisB
Phetchabun,Total,0,2007,HepatitisB
Phitsanulok,Total,0,2007,HepatitisB
Sukhothai,Total,0,2007,HepatitisB
Tak,Total,0,2007,HepatitisB
Uttaradit,Total,0,2007,HepatitisB
Zone: 3,Total,0,2007,HepatitisB
Kamphaeng Phet,Total,0,2007,HepatitisB
Nakhon Sawan,Total,0,2007,HepatitisB
Phichit,Total,0,2007,HepatitisB
Uthai Thani,Total,0,2007,HepatitisB
Central Region,Total,5,2007,HepatitisB
Bangkok,Total,0,2007,HepatitisB
Zone: 4,Total,5,2007,HepatitisB
Ang Thong,Total,0,2007,HepatitisB
Nonthaburi,Total,0,2007,HepatitisB
P.Nakhon S.Ayutthaya,Total,4,2007,HepatitisB
Pathum Thani,Total,1,2007,HepatitisB
Zone: 5,Total,0,2007,HepatitisB
Chai Nat,Total,0,2007,HepatitisB
Lop Buri,Total,0,2007,HepatitisB
Saraburi,Total,0,2007,HepatitisB
Sing Buri,Total,0,2007,HepatitisB
Zone: 6,Total,0,2007,HepatitisB
Kanchanaburi,Total,0,2007,HepatitisB
Nakhon Pathom,Total,0,2007,HepatitisB
Ratchaburi,Total,0,2007,HepatitisB
Suphan Buri,Total,0,2007,HepatitisB
Zone: 7,Total,0,2007,HepatitisB
Phetchaburi,Total,0,2007,HepatitisB
Prachuap Khiri Khan,Total,0,2007,HepatitisB
Samut Sakhon,Total,0,2007,HepatitisB
Samut Songkhram,Total,0,2007,HepatitisB
Zone: 8,Total,0,2007,HepatitisB
Chachoengsao,Total,0,2007,HepatitisB
Nakhon Nayok,Total,0,2007,HepatitisB
Prachin Buri,Total,0,2007,HepatitisB
Sa Kaeo,Total,0,2007,HepatitisB
Samut Prakan,Total,0,2007,HepatitisB
Zone: 9,Total,0,2007,HepatitisB
Chanthaburi,Total,0,2007,HepatitisB
Chon Buri,Total,0,2007,HepatitisB
Rayong,Total,0,2007,HepatitisB
Trat,Total,0,2007,HepatitisB
North-Eastern Region,Total,0,2007,HepatitisB
Zone: 10,Total,0,2007,HepatitisB
Loei,Total,0,2007,HepatitisB
Nong Bua Lam Phu,Total,0,2007,HepatitisB
Nong Khai,Total,0,2007,HepatitisB
Udon Thani,Total,0,2007,HepatitisB
Zone: 11,Total,0,2007,HepatitisB
Kalasin,Total,0,2007,HepatitisB
Mukdahan,Total,0,2007,HepatitisB
Nakhon Phanom,Total,0,2007,HepatitisB
Sakon Nakhon,Total,0,2007,HepatitisB
Zone: 12,Total,0,2007,HepatitisB
Khon Kaen,Total,0,2007,HepatitisB
Maha Sarakham,Total,0,2007,HepatitisB
Roi Et,Total,0,2007,HepatitisB
Zone: 13,Total,0,2007,HepatitisB
Buri Ram,Total,0,2007,HepatitisB
Chaiyaphum,Total,0,2007,HepatitisB
Nakhon Ratchasima,Total,0,2007,HepatitisB
Surin,Total,0,2007,HepatitisB
Zone: 14,Total,0,2007,HepatitisB
Amnat Charoen,Total,0,2007,HepatitisB
Si Sa Ket,Total,0,2007,HepatitisB
Ubon Ratchathani,Total,0,2007,HepatitisB
Yasothon,Total,0,2007,HepatitisB
South Region,Total,0,2007,HepatitisB
Zone: 15,Total,0,2007,HepatitisB
Chumphon,Total,0,2007,HepatitisB
Ranong,Total,0,2007,HepatitisB
Surat Thani,Total,0,2007,HepatitisB
Zone: 16,Total,0,2007,HepatitisB
Nakhon Si Thammarat,Total,0,2007,HepatitisB
Phatthalung,Total,0,2007,HepatitisB
Trang,Total,0,2007,HepatitisB
Zone: 17,Total,0,2007,HepatitisB
Krabi,Total,0,2007,HepatitisB
Phangnga,Total,0,2007,HepatitisB
Phuket,Total,0,2007,HepatitisB
