Areas,Age,Cases,Year,Disease
Total,Total,0,2018,Hepatitis_uns
ZONE:01,Total,0,2018,Hepatitis_uns
Chiang Mai,Total,0,2018,Hepatitis_uns
Chiang Rai,Total,0,2018,Hepatitis_uns
Lampang,Total,0,2018,Hepatitis_uns
Lamphun,Total,0,2018,Hepatitis_uns
Mae Hong Son,Total,0,2018,Hepatitis_uns
Nan,Total,0,2018,Hepatitis_uns
Phayao,Total,0,2018,Hepatitis_uns
Phrae,Total,0,2018,Hepatitis_uns
ZONE:02,Total,0,2018,Hepatitis_uns
Phetchabun,Total,0,2018,Hepatitis_uns
Phitsanulok,Total,0,2018,Hepatitis_uns
Sukhothai,Total,0,2018,Hepatitis_uns
Tak,Total,0,2018,Hepatitis_uns
Uttaradit,Total,0,2018,Hepatitis_uns
ZONE:03,Total,0,2018,Hepatitis_uns
Chai Nat,Total,0,2018,Hepatitis_uns
Kamphaeng Phet,Total,0,2018,Hepatitis_uns
Nakhon Sawan,Total,0,2018,Hepatitis_uns
Phichit,Total,0,2018,Hepatitis_uns
Uthai Thani,Total,0,2018,Hepatitis_uns
ZONE:04,Total,0,2018,Hepatitis_uns
Ang Thong,Total,0,2018,Hepatitis_uns
Lop Buri,Total,0,2018,Hepatitis_uns
Nakhon Nayok,Total,0,2018,Hepatitis_uns
Nonthaburi,Total,0,2018,Hepatitis_uns
P.Nakhon S.Ayutthaya,Total,0,2018,Hepatitis_uns
Pathum Thani,Total,0,2018,Hepatitis_uns
Saraburi,Total,0,2018,Hepatitis_uns
Sing Buri,Total,0,2018,Hepatitis_uns
ZONE:05,Total,0,2018,Hepatitis_uns
Kanchanaburi,Total,0,2018,Hepatitis_uns
Nakhon Pathom,Total,0,2018,Hepatitis_uns
Phetchaburi,Total,0,2018,Hepatitis_uns
Prachuap Khiri Khan,Total,0,2018,Hepatitis_uns
Ratchaburi,Total,0,2018,Hepatitis_uns
Samut Sakhon,Total,0,2018,Hepatitis_uns
Samut Songkhram,Total,0,2018,Hepatitis_uns
Suphan Buri,Total,0,2018,Hepatitis_uns
ZONE:06,Total,0,2018,Hepatitis_uns
Chachoengsao,Total,0,2018,Hepatitis_uns
Chanthaburi,Total,0,2018,Hepatitis_uns
Chon Buri,Total,0,2018,Hepatitis_uns
Prachin Buri,Total,0,2018,Hepatitis_uns
