Areas,Cases,Incidence,Deaths,CFR,Mortality,Population,Year,Disease
Total,28,0.04,6,21.43,0.01,63701703,2010,Meningo
Central Region,8,0.04,4,50.00,0.02,21534318,2010,Meningo
Zone:0,2,0.04,1,50.00,0.02,5701995,2010,Meningo
Bangkok,2,0.04,1,50.00,0.02,5701995,2010,Meningo
Zone:1,1,0.03,0,0.00,0.00,3454591,2010,Meningo
Nonthaburi,0,0.00,0,0.00,0.00,1089908,2010,Meningo
P.Nakhon S.Ayutthaya,0,0.00,0,0.00,0.00,778627,2010,Meningo
Pathum Thani,0,0.00,0,0.00,0.00,971010,2010,Meningo
Saraburi,1,0.16,0,0.00,0.00,615046,2010,Meningo
Zone:2,0,0.00,0,0.00,0.00,1590200,2010,Meningo
Ang Thong,0,0.00,0,0.00,0.00,284889,2010,Meningo
Chai Nat,0,0.00,0,0.00,0.00,335177,2010,Meningo
Lop Buri,0,0.00,0,0.00,0.00,755153,2010,Meningo
Sing Buri,0,0.00,0,0.00,0.00,214981,2010,Meningo
Zone:3,0,0.00,0,0.00,0.00,3105799,2010,Meningo
Chachoengsao,0,0.00,0,0.00,0.00,671458,2010,Meningo
Nakhon Nayok,0,0.00,0,0.00,0.00,252209,2010,Meningo
Prachin Buri,0,0.00,0,0.00,0.00,464213,2010,Meningo
Sa Kaeo,0,0.00,0,0.00,0.00,543276,2010,Meningo
Samut Prakan,0,0.00,0,0.00,0.00,1174643,2010,Meningo
Zone:4,0,0.00,0,0.00,0.00,3374810,2010,Meningo
Kanchanaburi,0,0.00,0,0.00,0.00,836600,2010,Meningo
Nakhon Pathom,0,0.00,0,0.00,0.00,855837,2010,Meningo
Ratchaburi,0,0.00,0,0.00,0.00,837153,2010,Meningo
Suphan Buri,0,0.00,0,0.00,0.00,845220,2010,Meningo
Zone:5,1,0.06,0,0.00,0.00,1651335,2010,Meningo
Phetchaburi,0,0.00,0,0.00,0.00,462636,2010,Meningo
Prachuap Khiri Khan,1,0.20,0,0.00,0.00,506599,2010,Meningo
Samut Sakhon,0,0.00,0,0.00,0.00,488247,2010,Meningo
Samut Songkhram,0,0.00,0,0.00,0.00,193853,2010,Meningo
Zone:9,4,0.15,3,75.00,0.11,2655588,2010,Meningo
Chanthaburi,3,0.58,3,100.00,0.58,512932,2010,Meningo
Chon Buri,1,0.08,0,0.00,0.00,1302942,2010,Meningo
Rayong,0,0.00,0,0.00,0.00,619249,2010,Meningo
Trat,0,0.00,0,0.00,0.00,220465,2010,Meningo
