Areas,Age,Cases,Year,Disease
Total,Total,1775,2011,Mushroom poisoning
Central Region,Total,143,2011,Mushroom poisoning
Zone:0,Total,0,2011,Mushroom poisoning
Bangkok,Total,0,2011,Mushroom poisoning
Zone:1,Total,13,2011,Mushroom poisoning
Nonthaburi,Total,0,2011,Mushroom poisoning
P.Nakhon S.Ayutthaya,Total,2,2011,Mushroom poisoning
Pathum Thani,Total,0,2011,Mushroom poisoning
Saraburi,Total,11,2011,Mushroom poisoning
Zone:2,Total,16,2011,Mushroom poisoning
Ang Thong,Total,6,2011,Mushroom poisoning
Chai Nat,Total,5,2011,Mushroom poisoning
Lop Buri,Total,3,2011,Mushroom poisoning
Sing Buri,Total,2,2011,Mushroom poisoning
Zone:3,Total,21,2011,Mushroom poisoning
Chachoengsao,Total,9,2011,Mushroom poisoning
Nakhon Nayok,Total,1,2011,Mushroom poisoning
Prachin Buri,Total,2,2011,Mushroom poisoning
Sa Kaeo,Total,9,2011,Mushroom poisoning
Samut Prakan,Total,0,2011,Mushroom poisoning
Zone:4,Total,12,2011,Mushroom poisoning
Kanchanaburi,Total,8,2011,Mushroom poisoning
Nakhon Pathom,Total,0,2011,Mushroom poisoning
Ratchaburi,Total,0,2011,Mushroom poisoning
Suphan Buri,Total,4,2011,Mushroom poisoning
Zone:5,Total,13,2011,Mushroom poisoning
Phetchaburi,Total,0,2011,Mushroom poisoning
Prachuap Khiri Khan,Total,13,2011,Mushroom poisoning
Samut Sakhon,Total,0,2011,Mushroom poisoning
Samut Songkhram,Total,0,2011,Mushroom poisoning
Zone:9,Total,68,2011,Mushroom poisoning
Chanthaburi,Total,16,2011,Mushroom poisoning
Chon Buri,Total,29,2011,Mushroom poisoning
Rayong,Total,6,2011,Mushroom poisoning
Trat,Total,17,2011,Mushroom poisoning
South Region,Total,63,2011,Mushroom poisoning
Zone:6,Total,31,2011,Mushroom poisoning
Chumphon,Total,3,2011,Mushroom poisoning
Nakhon Si Thammarat,Total,1,2011,Mushroom poisoning
Phatthalung,Total,0,2011,Mushroom poisoning
Surat Thani,Total,27,2011,Mushroom poisoning
Zone:7,Total,14,2011,Mushroom poisoning
Krabi,Total,10,2011,Mushroom poisoning
Phangnga,Total,2,2011,Mushroom poisoning
Phuket,Total,1,2011,Mushroom poisoning
Ranong,Total,0,2011,Mushroom poisoning
Trang,Total,1,2011,Mushroom poisoning
Zone:8,Total,18,2011,Mushroom poisoning
Narathiwat,Total,0,2011,Mushroom poisoning
Pattani,Total,0,2011,Mushroom poisoning
Satun,Total,0,2011,Mushroom poisoning
Songkhla,Total,18,2011,Mushroom poisoning
Yala,Total,0,2011,Mushroom poisoning
North-Eastern Region,Total,903,2011,Mushroom poisoning
Zone:10,Total,309,2011,Mushroom poisoning
Bungkan,Total,53,2011,Mushroom poisoning
Loei,Total,184,2011,Mushroom poisoning
Nong Bua Lam Phu,Total,2,2011,Mushroom poisoning
Nong Khai,Total,21,2011,Mushroom poisoning
Udon Thani,Total,49,2011,Mushroom poisoning
Zone:11,Total,100,2011,Mushroom poisoning
Mukdahan,Total,38,2011,Mushroom poisoning
Nakhon Phanom,Total,56,2011,Mushroom poisoning
Sakon Nakhon,Total,6,2011,Mushroom poisoning
Zone:12,Total,96,2011,Mushroom poisoning
Kalasin,Total,49,2011,Mushroom poisoning
Khon Kaen,Total,10,2011,Mushroom poisoning
Maha Sarakham,Total,3,2011,Mushroom poisoning
Roi Et,Total,34,2011,Mushroom poisoning
Zone:13,Total,313,2011,Mushroom poisoning
Amnat Charoen,Total,10,2011,Mushroom poisoning
Si Sa Ket,Total,175,2011,Mushroom poisoning
Ubon Ratchathani,Total,105,2011,Mushroom poisoning
Yasothon,Total,23,2011,Mushroom poisoning
Zone:14,Total,85,2011,Mushroom poisoning
Buri Ram,Total,30,2011,Mushroom poisoning
Chaiyaphum,Total,14,2011,Mushroom poisoning
Nakhon Ratchasima,Total,12,2011,Mushroom poisoning
Surin,Total,29,2011,Mushroom poisoning
North Region,Total,666,2011,Mushroom poisoning
Zone:15,Total,222,2011,Mushroom poisoning
Chiang Mai,Total,167,2011,Mushroom poisoning
Lampang,Total,25,2011,Mushroom poisoning
Lamphun,Total,14,2011,Mushroom poisoning
Mae Hong Son,Total,16,2011,Mushroom poisoning
Zone:16,Total,318,2011,Mushroom poisoning
Chiang Rai,Total,223,2011,Mushroom poisoning
Nan,Total,36,2011,Mushroom poisoning
Phayao,Total,51,2011,Mushroom poisoning
Phrae,Total,8,2011,Mushroom poisoning
Zone:17,Total,99,2011,Mushroom poisoning
Phetchabun,Total,28,2011,Mushroom poisoning
Phitsanulok,Total,28,2011,Mushroom poisoning
Sukhothai,Total,2,2011,Mushroom poisoning
Tak,Total,40,2011,Mushroom poisoning
