Areas,Age,Cases,Year,Disease
Total,Total,1,2019,Pediculosis Pubis
ZONE:01,Total,0,2019,Pediculosis Pubis
Chiang Mai,Total,0,2019,Pediculosis Pubis
Chiang Rai,Total,0,2019,Pediculosis Pubis
Lampang,Total,0,2019,Pediculosis Pubis
Lamphun,Total,0,2019,Pediculosis Pubis
Mae Hong Son,Total,0,2019,Pediculosis Pubis
Nan,Total,0,2019,Pediculosis Pubis
Phayao,Total,0,2019,Pediculosis Pubis
Phrae,Total,0,2019,Pediculosis Pubis
ZONE:02,Total,0,2019,Pediculosis Pubis
Phetchabun,Total,0,2019,Pediculosis Pubis
Phitsanulok,Total,0,2019,Pediculosis Pubis
Sukhothai,Total,0,2019,Pediculosis Pubis
Tak,Total,0,2019,Pediculosis Pubis
Uttaradit,Total,0,2019,Pediculosis Pubis
ZONE:03,Total,0,2019,Pediculosis Pubis
Chai Nat,Total,0,2019,Pediculosis Pubis
Kamphaeng Phet,Total,0,2019,Pediculosis Pubis
Nakhon Sawan,Total,0,2019,Pediculosis Pubis
Phichit,Total,0,2019,Pediculosis Pubis
Uthai Thani,Total,0,2019,Pediculosis Pubis
ZONE:04,Total,0,2019,Pediculosis Pubis
Ang Thong,Total,0,2019,Pediculosis Pubis
Lop Buri,Total,0,2019,Pediculosis Pubis
Nakhon Nayok,Total,0,2019,Pediculosis Pubis
Nonthaburi,Total,0,2019,Pediculosis Pubis
P.Nakhon S.Ayutthaya,Total,0,2019,Pediculosis Pubis
Pathum Thani,Total,0,2019,Pediculosis Pubis
Saraburi,Total,0,2019,Pediculosis Pubis
Sing Buri,Total,0,2019,Pediculosis Pubis
ZONE:05,Total,0,2019,Pediculosis Pubis
Kanchanaburi,Total,0,2019,Pediculosis Pubis
Nakhon Pathom,Total,0,2019,Pediculosis Pubis
Phetchaburi,Total,0,2019,Pediculosis Pubis
Prachuap Khiri Khan,Total,0,2019,Pediculosis Pubis
Ratchaburi,Total,0,2019,Pediculosis Pubis
Samut Sakhon,Total,0,2019,Pediculosis Pubis
Samut Songkhram,Total,0,2019,Pediculosis Pubis
Suphan Buri,Total,0,2019,Pediculosis Pubis
ZONE:06,Total,0,2019,Pediculosis Pubis
Chachoengsao,Total,0,2019,Pediculosis Pubis
Chanthaburi,Total,0,2019,Pediculosis Pubis
Chon Buri,Total,0,2019,Pediculosis Pubis
Prachin Buri,Total,0,2019,Pediculosis Pubis
Rayong,Total,0,2019,Pediculosis Pubis
Sa Kaeo,Total,0,2019,Pediculosis Pubis
Samut Prakan,Total,0,2019,Pediculosis Pubis
Trat,Total,0,2019,Pediculosis Pubis
ZONE:07,Total,0,2019,Pediculosis Pubis
Kalasin,Total,0,2019,Pediculosis Pubis
Khon Kaen,Total,0,2019,Pediculosis Pubis
Maha Sarakham,Total,0,2019,Pediculosis Pubis
Roi Et,Total,0,2019,Pediculosis Pubis
ZONE:08,Total,0,2019,Pediculosis Pubis
Bungkan,Total,0,2019,Pediculosis Pubis
Loei,Total,0,2019,Pediculosis Pubis
Nakhon Phanom,Total,0,2019,Pediculosis Pubis
Nong Bua Lam Phu,Total,0,2019,Pediculosis Pubis
Nong Khai,Total,0,2019,Pediculosis Pubis
Sakon Nakhon,Total,0,2019,Pediculosis Pubis
Udon Thani,Total,0,2019,Pediculosis Pubis
ZONE:09,Total,0,2019,Pediculosis Pubis
Buri Ram,Total,0,2019,Pediculosis Pubis
Chaiyaphum,Total,0,2019,Pediculosis Pubis
Nakhon Ratchasima,Total,0,2019,Pediculosis Pubis
Surin,Total,0,2019,Pediculosis Pubis
ZONE:10,Total,0,2019,Pediculosis Pubis
Amnat Charoen,Total,0,2019,Pediculosis Pubis
Mukdahan,Total,0,2019,Pediculosis Pubis
Si Sa Ket,Total,0,2019,Pediculosis Pubis
Ubon Ratchathani,Total,0,2019,Pediculosis Pubis
Yasothon,Total,0,2019,Pediculosis Pubis
ZONE:11,Total,0,2019,Pediculosis Pubis
Chumphon,Total,0,2019,Pediculosis Pubis
Krabi,Total,0,2019,Pediculosis Pubis
Nakhon Si Thammarat,Total,0,2019,Pediculosis Pubis
Phangnga,Total,0,2019,Pediculosis Pubis
Phuket,Total,0,2019,Pediculosis Pubis
Ranong,Total,0,2019,Pediculosis Pubis
Surat Thani,Total,0,2019,Pediculosis Pubis
ZONE:12,Total,0,2019,Pediculosis Pubis
Narathiwat,Total,0,2019,Pediculosis Pubis
Pattani,Total,0,2019,Pediculosis Pubis
Phatthalung,Total,0,2019,Pediculosis Pubis
Satun,Total,0,2019,Pediculosis Pubis
Songkhla,Total,0,2019,Pediculosis Pubis
Trang,Total,0,2019,Pediculosis Pubis
Yala,Total,0,2019,Pediculosis Pubis
ZONE:13,Total,1,2019,Pediculosis Pubis
Bangkok,Total,1,2019,Pediculosis Pubis
Total,0,0,2019,Pediculosis Pubis
ZONE:01,0,0,2019,Pediculosis Pubis
Chiang Mai,0,0,2019,Pediculosis Pubis
Chiang Rai,0,0,2019,Pediculosis Pubis
Lampang,0,0,2019,Pediculosis Pubis
Lamphun,0,0,2019,Pediculosis Pubis
Mae Hong Son,0,0,2019,Pediculosis Pubis
Nan,0,0,2019,Pediculosis Pubis
Phayao,0,0,2019,Pediculosis Pubis
Phrae,0,0,2019,Pediculosis Pubis
ZONE:02,0,0,2019,Pediculosis Pubis
Phetchabun,0,0,2019,Pediculosis Pubis
Phitsanulok,0,0,2019,Pediculosis Pubis
Sukhothai,0,0,2019,Pediculosis Pubis
Tak,0,0,2019,Pediculosis Pubis
Uttaradit,0,0,2019,Pediculosis Pubis
ZONE:03,0,0,2019,Pediculosis Pubis
Chai Nat,0,0,2019,Pediculosis Pubis
Kamphaeng Phet,0,0,2019,Pediculosis Pubis
Nakhon Sawan,0,0,2019,Pediculosis Pubis
Phichit,0,0,2019,Pediculosis Pubis
Uthai Thani,0,0,2019,Pediculosis Pubis
ZONE:04,0,0,2019,Pediculosis Pubis
Ang Thong,0,0,2019,Pediculosis Pubis
Lop Buri,0,0,2019,Pediculosis Pubis
Nakhon Nayok,0,0,2019,Pediculosis Pubis
Nonthaburi,0,0,2019,Pediculosis Pubis
P.Nakhon S.Ayutthaya,0,0,2019,Pediculosis Pubis
Pathum Thani,0,0,2019,Pediculosis Pubis
Saraburi,0,0,2019,Pediculosis Pubis
Sing Buri,0,0,2019,Pediculosis Pubis
ZONE:05,0,0,2019,Pediculosis Pubis
Kanchanaburi,0,0,2019,Pediculosis Pubis
Nakhon Pathom,0,0,2019,Pediculosis Pubis
Phetchaburi,0,0,2019,Pediculosis Pubis
Prachuap Khiri Khan,0,0,2019,Pediculosis Pubis
Ratchaburi,0,0,2019,Pediculosis Pubis
Samut Sakhon,0,0,2019,Pediculosis Pubis
Samut Songkhram,0,0,2019,Pediculosis Pubis
Suphan Buri,0,0,2019,Pediculosis Pubis
ZONE:06,0,0,2019,Pediculosis Pubis
Chachoengsao,0,0,2019,Pediculosis Pubis
Chanthaburi,0,0,2019,Pediculosis Pubis
Chon Buri,0,0,2019,Pediculosis Pubis
Prachin Buri,0,0,2019,Pediculosis Pubis
Rayong,0,0,2019,Pediculosis Pubis
Sa Kaeo,0,0,2019,Pediculosis Pubis
Samut Prakan,0,0,2019,Pediculosis Pubis
Trat,0,0,2019,Pediculosis Pubis
ZONE:07,0,0,2019,Pediculosis Pubis
Kalasin,0,0,2019,Pediculosis Pubis
Khon Kaen,0,0,2019,Pediculosis Pubis
Maha Sarakham,0,0,2019,Pediculosis Pubis
Roi Et,0,0,2019,Pediculosis Pubis
ZONE:08,0,0,2019,Pediculosis Pubis
Bungkan,0,0,2019,Pediculosis Pubis
Loei,0,0,2019,Pediculosis Pubis
Nakhon Phanom,0,0,2019,Pediculosis Pubis
Nong Bua Lam Phu,0,0,2019,Pediculosis Pubis
Nong Khai,0,0,2019,Pediculosis Pubis
Sakon Nakhon,0,0,2019,Pediculosis Pubis
Udon Thani,0,0,2019,Pediculosis Pubis
ZONE:09,0,0,2019,Pediculosis Pubis
Buri Ram,0,0,2019,Pediculosis Pubis
Chaiyaphum,0,0,2019,Pediculosis Pubis
Nakhon Ratchasima,0,0,2019,Pediculosis Pubis
Surin,0,0,2019,Pediculosis Pubis
ZONE:10,0,0,2019,Pediculosis Pubis
Amnat Charoen,0,0,2019,Pediculosis Pubis
Mukdahan,0,0,2019,Pediculosis Pubis
Si Sa Ket,0,0,2019,Pediculosis Pubis
Ubon Ratchathani,0,0,2019,Pediculosis Pubis
Yasothon,0,0,2019,Pediculosis Pubis
ZONE:11,0,0,2019,Pediculosis Pubis
Chumphon,0,0,2019,Pediculosis Pubis
Krabi,0,0,2019,Pediculosis Pubis
Nakhon Si Thammarat,0,0,2019,Pediculosis Pubis
Phangnga,0,0,2019,Pediculosis Pubis
Phuket,0,0,2019,Pediculosis Pubis
Ranong,0,0,2019,Pediculosis Pubis
Surat Thani,0,0,2019,Pediculosis Pubis
ZONE:12,0,0,2019,Pediculosis Pubis
Narathiwat,0,0,2019,Pediculosis Pubis
Pattani,0,0,2019,Pediculosis Pubis
Phatthalung,0,0,2019,Pediculosis Pubis
Satun,0,0,2019,Pediculosis Pubis
Songkhla,0,0,2019,Pediculosis Pubis
Trang,0,0,2019,Pediculosis Pubis
Yala,0,0,2019,Pediculosis Pubis
ZONE:13,0,0,2019,Pediculosis Pubis
Bangkok,0,0,2019,Pediculosis Pubis
Total,<1,0,2019,Pediculosis Pubis
ZONE:01,<1,0,2019,Pediculosis Pubis
Chiang Mai,<1,0,2019,Pediculosis Pubis
Chiang Rai,<1,0,2019,Pediculosis Pubis
Lampang,<1,0,2019,Pediculosis Pubis
Lamphun,<1,0,2019,Pediculosis Pubis
Mae Hong Son,<1,0,2019,Pediculosis Pubis
Nan,<1,0,2019,Pediculosis Pubis
Phayao,<1,0,2019,Pediculosis Pubis
Phrae,<1,0,2019,Pediculosis Pubis
ZONE:02,<1,0,2019,Pediculosis Pubis
Phetchabun,<1,0,2019,Pediculosis Pubis
Phitsanulok,<1,0,2019,Pediculosis Pubis
Sukhothai,<1,0,2019,Pediculosis Pubis
Tak,<1,0,2019,Pediculosis Pubis
Uttaradit,<1,0,2019,Pediculosis Pubis
ZONE:03,<1,0,2019,Pediculosis Pubis
Chai Nat,<1,0,2019,Pediculosis Pubis
Kamphaeng Phet,<1,0,2019,Pediculosis Pubis
Nakhon Sawan,<1,0,2019,Pediculosis Pubis
Phichit,<1,0,2019,Pediculosis Pubis
Uthai Thani,<1,0,2019,Pediculosis Pubis
ZONE:04,<1,0,2019,Pediculosis Pubis
