Areas,Cases,Incidence,Deaths,Mortality,Population,Year,Disease
Total,129417,205.62,1042,1.66,62939819,2003,Pneumonia
North Region,32190,265.58,374,3.09,12120537,2003,Pneumonia
Zone:1,19990,346.81,133,2.31,5764017,2003,Pneumonia
Chiang Mai,4617,288.65,19,1.19,1599538,2003,Pneumonia
Chiang Rai,5835,468.84,65,5.22,1244564,2003,Pneumonia
Lampang,3212,402.0,7,0.88,798996,2003,Pneumonia
Lamphun,1552,380.28,3,0.74,408122,2003,Pneumonia
Mae Hong Son,1818,760.26,4,1.67,239128,2003,Pneumonia
Nan,918,189.29,15,3.09,484961,2003,Pneumonia
Phayao,1512,299.39,18,3.56,505032,2003,Pneumonia
Phrae,526,108.75,2,0.41,483676,2003,Pneumonia
Zone:2,6710,190.42,34,0.96,3523807,2003,Pneumonia
Phetchabun,1051,100.43,7,0.67,1046537,2003,Pneumonia
Phitsanulok,1282,147.78,3,0.35,867520,2003,Pneumonia
Sukhothai,1398,224.26,2,0.32,623396,2003,Pneumonia
Tak,1693,336.55,4,0.8,503042,2003,Pneumonia
Uttaradit,1286,266.08,18,3.72,483312,2003,Pneumonia
Zone:3,5490,193.81,207,7.31,2832713,2003,Pneumonia
Kamphaeng Phet,1778,230.56,81,10.5,771177,2003,Pneumonia
Nakhon Sawan,2007,177.8,97,8.59,1128789,2003,Pneumonia
Phichit,617,103.71,2,0.34,594918,2003,Pneumonia
Uthai Thani,1088,322.06,27,7.99,337829,2003,Pneumonia
Central Region,34825,168.02,425,2.05,20726962,2003,Pneumonia
Zone:0,5868,100.94,25,0.43,5813383,2003,Pneumonia
Bangkok,5868,100.94,25,0.43,5813383,2003,Pneumonia
Zone:4,6414,239.37,110,4.11,2679573,2003,Pneumonia
Ang Thong,735,252.9,10,3.44,290623,2003,Pneumonia
Nonthaburi,1015,110.92,13,1.42,915043,2003,Pneumonia
P.Nakhon S.Ayutthaya,2637,351.72,47,6.27,749751,2003,Pneumonia
Pathum Thani,2027,279.91,40,5.52,724156,2003,Pneumonia
Zone:5,3780,192.37,129,6.57,1964953,2003,Pneumonia
Chai Nat,346,98.89,6,1.71,349881,2003,Pneumonia
Lop Buri,1453,189.13,119,15.49,768250,2003,Pneumonia
