Areas,Count,Month,Type,Year,Disease
Total,7310,Total,Cases,2011,Scrub Typhus
Central Region,270,Total,Cases,2011,Scrub Typhus
Zone:0,28,Total,Cases,2011,Scrub Typhus
Bangkok,28,Total,Cases,2011,Scrub Typhus
Zone:1,9,Total,Cases,2011,Scrub Typhus
Nonthaburi,2,Total,Cases,2011,Scrub Typhus
P.Nakhon S.Ayutthaya,2,Total,Cases,2011,Scrub Typhus
Pathum Thani,4,Total,Cases,2011,Scrub Typhus
Saraburi,1,Total,Cases,2011,Scrub Typhus
Zone:2,15,Total,Cases,2011,Scrub Typhus
Ang Thong,11,Total,Cases,2011,Scrub Typhus
Chai Nat,1,Total,Cases,2011,Scrub Typhus
Lop Buri,3,Total,Cases,2011,Scrub Typhus
Sing Buri,0,Total,Cases,2011,Scrub Typhus
Zone:3,28,Total,Cases,2011,Scrub Typhus
Chachoengsao,19,Total,Cases,2011,Scrub Typhus
Nakhon Nayok,0,Total,Cases,2011,Scrub Typhus
Prachin Buri,4,Total,Cases,2011,Scrub Typhus
Sa Kaeo,2,Total,Cases,2011,Scrub Typhus
Samut Prakan,3,Total,Cases,2011,Scrub Typhus
Zone:4,46,Total,Cases,2011,Scrub Typhus
Kanchanaburi,21,Total,Cases,2011,Scrub Typhus
Nakhon Pathom,1,Total,Cases,2011,Scrub Typhus
Ratchaburi,23,Total,Cases,2011,Scrub Typhus
Suphan Buri,1,Total,Cases,2011,Scrub Typhus
Zone:5,80,Total,Cases,2011,Scrub Typhus
Phetchaburi,19,Total,Cases,2011,Scrub Typhus
Prachuap Khiri Khan,41,Total,Cases,2011,Scrub Typhus
Samut Sakhon,13,Total,Cases,2011,Scrub Typhus
Samut Songkhram,7,Total,Cases,2011,Scrub Typhus
Zone:9,64,Total,Cases,2011,Scrub Typhus
Chanthaburi,44,Total,Cases,2011,Scrub Typhus
Chon Buri,4,Total,Cases,2011,Scrub Typhus
Rayong,13,Total,Cases,2011,Scrub Typhus
Trat,3,Total,Cases,2011,Scrub Typhus
South Region,759,Total,Cases,2011,Scrub Typhus
Zone:6,321,Total,Cases,2011,Scrub Typhus
Chumphon,18,Total,Cases,2011,Scrub Typhus
Nakhon Si Thammarat,93,Total,Cases,2011,Scrub Typhus
Phatthalung,131,Total,Cases,2011,Scrub Typhus
Surat Thani,79,Total,Cases,2011,Scrub Typhus
Zone:7,273,Total,Cases,2011,Scrub Typhus
Krabi,54,Total,Cases,2011,Scrub Typhus
Phangnga,149,Total,Cases,2011,Scrub Typhus
Phuket,8,Total,Cases,2011,Scrub Typhus
Ranong,13,Total,Cases,2011,Scrub Typhus
Trang,49,Total,Cases,2011,Scrub Typhus
Zone:8,165,Total,Cases,2011,Scrub Typhus
Narathiwat,70,Total,Cases,2011,Scrub Typhus
Pattani,1,Total,Cases,2011,Scrub Typhus
Satun,10,Total,Cases,2011,Scrub Typhus
Songkhla,46,Total,Cases,2011,Scrub Typhus
Yala,38,Total,Cases,2011,Scrub Typhus
North-Eastern Region,1887,Total,Cases,2011,Scrub Typhus
Zone:10,215,Total,Cases,2011,Scrub Typhus
Bungkan,44,Total,Cases,2011,Scrub Typhus
Loei,132,Total,Cases,2011,Scrub Typhus
Nong Bua Lam Phu,0,Total,Cases,2011,Scrub Typhus
Nong Khai,12,Total,Cases,2011,Scrub Typhus
Udon Thani,27,Total,Cases,2011,Scrub Typhus
Zone:11,21,Total,Cases,2011,Scrub Typhus
Mukdahan,3,Total,Cases,2011,Scrub Typhus
Nakhon Phanom,17,Total,Cases,2011,Scrub Typhus
Sakon Nakhon,1,Total,Cases,2011,Scrub Typhus
Zone:12,445,Total,Cases,2011,Scrub Typhus
Kalasin,122,Total,Cases,2011,Scrub Typhus
Khon Kaen,190,Total,Cases,2011,Scrub Typhus
Maha Sarakham,19,Total,Cases,2011,Scrub Typhus
Roi Et,114,Total,Cases,2011,Scrub Typhus
Zone:13,500,Total,Cases,2011,Scrub Typhus
Amnat Charoen,0,Total,Cases,2011,Scrub Typhus
