สัปดาห์-value,สัปดาห์-alias,จังหวัด-value,จังหวัด-alias,AGG(ข้อมูล)-alias
50,50,%all%,%all%,0
50,50,ราชบุรี,ราชบุรี,0
19,19,%all%,%all%,1
19,19,อุบลราชธานี,อุบลราชธานี,1
15,15,%all%,%all%,0
15,15,อุบลราชธานี,อุบลราชธานี,0
14,14,%all%,%all%,0
14,14,อุบลราชธานี,อุบลราชธานี,0
13,13,%all%,%all%,1
13,13,อุบลราชธานี,อุบลราชธานี,1
8,8,%all%,%all%,1
8,8,อุบลราชธานี,อุบลราชธานี,1
6,6,%all%,%all%,1
6,6,อุบลราชธานี,อุบลราชธานี,1
3,3,%all%,%all%,0
3,3,อุบลราชธานี,อุบลราชธานี,0
%all%,%all%,%all%,%all%,4
%all%,%all%,อุบลราชธานี,อุบลราชธานี,4
%all%,%all%,ราชบุรี,ราชบุรี,0
