สัปดาห์-value,สัปดาห์-alias,จังหวัด-value,จังหวัด-alias,AGG(ข้อมูล)-alias
52,52,%all%,%all%,0
52,52,แม่ฮ่องสอน,แม่ฮ่องสอน,0
51,51,%all%,%all%,0
51,51,มหาสารคาม,มหาสารคาม,0
51,51,ขอนแก่น,ขอนแก่น,0
51,51,กาฬสินธุ์,กาฬสินธุ์,0
50,50,%all%,%all%,0
50,50,บุรีรัมย์,บุรีรัมย์,0
50,50,ชัยภูมิ,ชัยภูมิ,0
49,49,%all%,%all%,0
49,49,เพชรบูรณ์,เพชรบูรณ์,0
49,49,ศรีสะเกษ,ศรีสะเกษ,0
49,49,กาฬสินธุ์,กาฬสินธุ์,0
48,48,%all%,%all%,0
48,48,เพชรบูรณ์,เพชรบูรณ์,0
48,48,บุรีรัมย์,บุรีรัมย์,0
47,47,%all%,%all%,0
47,47,แพร่,แพร่,0
47,47,ศรีสะเกษ,ศรีสะเกษ,0
47,47,มหาสารคาม,มหาสารคาม,0
47,47,บุรีรัมย์,บุรีรัมย์,0
46,46,%all%,%all%,0
46,46,บุรีรัมย์,บุรีรัมย์,0
46,46,กาฬสินธุ์,กาฬสินธุ์,0
45,45,%all%,%all%,0
45,45,เลย,เลย,0
45,45,เพชรบูรณ์,เพชรบูรณ์,0
45,45,บุรีรัมย์,บุรีรัมย์,0
45,45,กาฬสินธุ์,กาฬสินธุ์,0
44,44,%all%,%all%,0
44,44,แพร่,แพร่,0
44,44,เพชรบูรณ์,เพชรบูรณ์,0
44,44,ลำปาง,ลำปาง,0
43,43,%all%,%all%,1
43,43,แพร่,แพร่,0
43,43,อุบลราชธานี,อุบลราชธานี,0
43,43,หนองบัวลำภู,หนองบัวลำภู,1
43,43,ลำปาง,ลำปาง,0
43,43,ชัยภูมิ,ชัยภูมิ,0
42,42,%all%,%all%,1
42,42,เพชรบูรณ์,เพชรบูรณ์,0
42,42,หนองบัวลำภู,หนองบัวลำภู,1
42,42,ลำปาง,ลำปาง,0
42,42,น่าน,น่าน,0
42,42,กาฬสินธุ์,กาฬสินธุ์,0
41,41,%all%,%all%,5
41,41,หนองบัวลำภู,หนองบัวลำภู,5
41,41,น่าน,น่าน,0
41,41,ขอนแก่น,ขอนแก่น,0
40,40,%all%,%all%,1
40,40,แพร่,แพร่,0
40,40,เลย,เลย,0
40,40,อุบลราชธานี,อุบลราชธานี,0
40,40,หนองบัวลำภู,หนองบัวลำภู,1
40,40,ร้อยเอ็ด,ร้อยเอ็ด,0
39,39,%all%,%all%,3
39,39,แพร่,แพร่,0
39,39,อุบลราชธานี,อุบลราชธานี,0
39,39,หนองบัวลำภู,หนองบัวลำภู,3
