สัปดาห์-value,สัปดาห์-alias,จังหวัด-value,จังหวัด-alias,AGG(ข้อมูล)-alias
52,52,%all%,%all%,0
52,52,ลำพูน,ลำพูน,0
52,52,กรุงเทพมหานคร,กรุงเทพมหานคร,0
51,51,%all%,%all%,2
51,51,เชียงใหม่,เชียงใหม่,0
51,51,อุบลราชธานี,อุบลราชธานี,0
51,51,บุรีรัมย์,บุรีรัมย์,0
51,51,ชลบุรี,ชลบุรี,1
51,51,กรุงเทพมหานคร,กรุงเทพมหานคร,1
51,51,กระบี่,กระบี่,0
50,50,%all%,%all%,1
50,50,เชียงใหม่,เชียงใหม่,1
50,50,ลำพูน,ลำพูน,0
50,50,กรุงเทพมหานคร,กรุงเทพมหานคร,0
49,49,%all%,%all%,0
49,49,อุบลราชธานี,อุบลราชธานี,0
49,49,ลำปาง,ลำปาง,0
49,49,พะเยา,พะเยา,0
48,48,%all%,%all%,0
48,48,เชียงใหม่,เชียงใหม่,0
48,48,ศรีสะเกษ,ศรีสะเกษ,0
48,48,พิษณุโลก,พิษณุโลก,0
47,47,%all%,%all%,0
47,47,อุทัยธานี,อุทัยธานี,0
47,47,สระบุรี,สระบุรี,0
47,47,สมุทรปราการ,สมุทรปราการ,0
47,47,นครศรีธรรมราช,นครศรีธรรมราช,0
47,47,ฉะเชิงเทรา,ฉะเชิงเทรา,0
47,47,กรุงเทพมหานคร,กรุงเทพมหานคร,0
46,46,%all%,%all%,3
46,46,แม่ฮ่องสอน,แม่ฮ่องสอน,0
46,46,เชียงราย,เชียงราย,1
46,46,อุบลราชธานี,อุบลราชธานี,1
46,46,ศรีสะเกษ,ศรีสะเกษ,0
46,46,พระนครศรีอยุธยา,พระนครศรีอยุธยา,0
46,46,กำแพงเพชร,กำแพงเพชร,0
46,46,กรุงเทพมหานคร,กรุงเทพมหานคร,1
45,45,%all%,%all%,2
45,45,สุราษฎร์ธานี,สุราษฎร์ธานี,0
45,45,ปราจีนบุรี,ปราจีนบุรี,0
45,45,นนทบุรี,นนทบุรี,0
45,45,นครสวรรค์,นครสวรรค์,1
45,45,นครราชสีมา,นครราชสีมา,0
45,45,ชลบุรี,ชลบุรี,0
45,45,กำแพงเพชร,กำแพงเพชร,1
45,45,กรุงเทพมหานคร,กรุงเทพมหานคร,0
44,44,%all%,%all%,0
44,44,ปทุมธานี,ปทุมธานี,0
44,44,บุรีรัมย์,บุรีรัมย์,0
44,44,นนทบุรี,นนทบุรี,0
44,44,นครปฐม,นครปฐม,0
44,44,ชลบุรี,ชลบุรี,0
44,44,กรุงเทพมหานคร,กรุงเทพมหานคร,0
43,43,%all%,%all%,2
43,43,สมุทรปราการ,สมุทรปราการ,0
43,43,นครปฐม,นครปฐม,1
43,43,ชัยนาท,ชัยนาท,1
43,43,ขอนแก่น,ขอนแก่น,0
43,43,กรุงเทพมหานคร,กรุงเทพมหานคร,0
42,42,%all%,%all%,0
42,42,ศรีสะเกษ,ศรีสะเกษ,0
42,42,ลพบุรี,ลพบุรี,0
42,42,มุกดาหาร,มุกดาหาร,0
42,42,นครราชสีมา,นครราชสีมา,0
42,42,ตาก,ตาก,0
42,42,ชุมพร,ชุมพร,0
42,42,ชลบุรี,ชลบุรี,0
41,41,%all%,%all%,1
41,41,เชียงราย,เชียงราย,0
41,41,สุราษฎร์ธานี,สุราษฎร์ธานี,1
41,41,ยโสธร,ยโสธร,0
41,41,พิษณุโลก,พิษณุโลก,0
41,41,ปราจีนบุรี,ปราจีนบุรี,0
41,41,ปทุมธานี,ปทุมธานี,0
41,41,นนทบุรี,นนทบุรี,0
41,41,ชลบุรี,ชลบุรี,0
41,41,กรุงเทพมหานคร,กรุงเทพมหานคร,0
40,40,%all%,%all%,1
40,40,อุบลราชธานี,อุบลราชธานี,0
40,40,สุราษฎร์ธานี,สุราษฎร์ธานี,1
40,40,สระบุรี,สระบุรี,0
40,40,สมุทรปราการ,สมุทรปราการ,0
40,40,ปราจีนบุรี,ปราจีนบุรี,0
40,40,ชัยนาท,ชัยนาท,0
40,40,ฉะเชิงเทรา,ฉะเชิงเทรา,0
40,40,กรุงเทพมหานคร,กรุงเทพมหานคร,0
39,39,%all%,%all%,1
39,39,เชียงใหม่,เชียงใหม่,0
39,39,เชียงราย,เชียงราย,1
39,39,สุรินทร์,สุรินทร์,0
39,39,สระบุรี,สระบุรี,0
39,39,สงขลา,สงขลา,0
39,39,มหาสารคาม,มหาสารคาม,0
39,39,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,0
39,39,นนทบุรี,นนทบุรี,0
39,39,ฉะเชิงเทรา,ฉะเชิงเทรา,0
39,39,กรุงเทพมหานคร,กรุงเทพมหานคร,0
38,38,%all%,%all%,1
38,38,เลย,เลย,0
38,38,เชียงใหม่,เชียงใหม่,0
38,38,อุดรธานี,อุดรธานี,0
38,38,สุรินทร์,สุรินทร์,0
38,38,สมุทรปราการ,สมุทรปราการ,0
38,38,พิษณุโลก,พิษณุโลก,0
38,38,ตาก,ตาก,0
38,38,ชลบุรี,ชลบุรี,0
