สัปดาห์-value,สัปดาห์-alias,จังหวัด-value,จังหวัด-alias,AGG(ข้อมูล)-alias
45,45,%all%,%all%,0
45,45,บุรีรัมย์,บุรีรัมย์,0
31,31,%all%,%all%,0
31,31,ปทุมธานี,ปทุมธานี,0
29,29,%all%,%all%,1
29,29,สุรินทร์,สุรินทร์,0
29,29,กรุงเทพมหานคร,กรุงเทพมหานคร,1
14,14,%all%,%all%,0
14,14,ปทุมธานี,ปทุมธานี,0
13,13,%all%,%all%,0
13,13,สุรินทร์,สุรินทร์,0
13,13,กาฬสินธุ์,กาฬสินธุ์,0
9,9,%all%,%all%,0
9,9,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,0
7,7,%all%,%all%,0
7,7,ปทุมธานี,ปทุมธานี,0
7,7,จันทบุรี,จันทบุรี,0
3,3,%all%,%all%,0
3,3,เลย,เลย,0
3,3,สุโขทัย,สุโขทัย,0
%all%,%all%,%all%,%all%,1
%all%,%all%,เลย,เลย,0
%all%,%all%,สุโขทัย,สุโขทัย,0
%all%,%all%,สุรินทร์,สุรินทร์,0
%all%,%all%,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,0
%all%,%all%,ปทุมธานี,ปทุมธานี,0
%all%,%all%,บุรีรัมย์,บุรีรัมย์,0
%all%,%all%,จันทบุรี,จันทบุรี,0
%all%,%all%,กาฬสินธุ์,กาฬสินธุ์,0
%all%,%all%,กรุงเทพมหานคร,กรุงเทพมหานคร,1
