สัปดาห์-value,สัปดาห์-alias,จังหวัด-value,จังหวัด-alias,AGG(ข้อมูล)-alias
49,49,%all%,%all%,3
49,49,อุบลราชธานี,อุบลราชธานี,1
49,49,ชลบุรี,ชลบุรี,1
49,49,กรุงเทพมหานคร,กรุงเทพมหานคร,1
48,48,%all%,%all%,19
48,48,เพชรบุรี,เพชรบุรี,1
48,48,สุราษฎร์ธานี,สุราษฎร์ธานี,1
48,48,สมุทรสาคร,สมุทรสาคร,1
48,48,ลำปาง,ลำปาง,1
48,48,ภูเก็ต,ภูเก็ต,1
48,48,พิจิตร,พิจิตร,1
48,48,พระนครศรีอยุธยา,พระนครศรีอยุธยา,1
48,48,น่าน,น่าน,1
48,48,นราธิวาส,นราธิวาส,2
48,48,นนทบุรี,นนทบุรี,2
48,48,นครราชสีมา,นครราชสีมา,1
48,48,ชลบุรี,ชลบุรี,2
48,48,กรุงเทพมหานคร,กรุงเทพมหานคร,4
47,47,%all%,%all%,35
47,47,อุดรธานี,อุดรธานี,1
47,47,สุพรรณบุรี,สุพรรณบุรี,1
47,47,สิงห์บุรี,สิงห์บุรี,1
47,47,สงขลา,สงขลา,1
47,47,สกลนคร,สกลนคร,1
47,47,ลำพูน,ลำพูน,1
47,47,ลำปาง,ลำปาง,1
47,47,ราชบุรี,ราชบุรี,1
47,47,ยโสธร,ยโสธร,1
47,47,ภูเก็ต,ภูเก็ต,1
47,47,พิจิตร,พิจิตร,1
47,47,พัทลุง,พัทลุง,1
47,47,พระนครศรีอยุธยา,พระนครศรีอยุธยา,1
47,47,ปทุมธานี,ปทุมธานี,1
47,47,นนทบุรี,นนทบุรี,2
47,47,นครสวรรค์,นครสวรรค์,1
47,47,นครศรีธรรมราช,นครศรีธรรมราช,1
47,47,นครราชสีมา,นครราชสีมา,1
47,47,ตรัง,ตรัง,1
47,47,ชลบุรี,ชลบุรี,2
47,47,จันทบุรี,จันทบุรี,1
47,47,กำแพงเพชร,กำแพงเพชร,1
47,47,กรุงเทพมหานคร,กรุงเทพมหานคร,10
47,47,กระบี่,กระบี่,1
46,46,%all%,%all%,65
46,46,เพชรบูรณ์,เพชรบูรณ์,1
46,46,เชียงใหม่,เชียงใหม่,1
46,46,สุราษฎร์ธานี,สุราษฎร์ธานี,5
46,46,สิงห์บุรี,สิงห์บุรี,1
46,46,สระบุรี,สระบุรี,1
46,46,สมุทรปราการ,สมุทรปราการ,1
46,46,สงขลา,สงขลา,3
46,46,ลำปาง,ลำปาง,2
46,46,ราชบุรี,ราชบุรี,2
46,46,ภูเก็ต,ภูเก็ต,3
46,46,พิจิตร,พิจิตร,2
46,46,พระนครศรีอยุธยา,พระนครศรีอยุธยา,2
46,46,ปราจีนบุรี,ปราจีนบุรี,1
46,46,ปทุมธานี,ปทุมธานี,3
46,46,นครราชสีมา,นครราชสีมา,3
46,46,นครปฐม,นครปฐม,1
46,46,ชลบุรี,ชลบุรี,8
46,46,ฉะเชิงเทรา,ฉะเชิงเทรา,1
46,46,จันทบุรี,จันทบุรี,1
46,46,ขอนแก่น,ขอนแก่น,1
46,46,กาญจนบุรี,กาญจนบุรี,1
46,46,กรุงเทพมหานคร,กรุงเทพมหานคร,21
45,45,%all%,%all%,56
45,45,อุดรธานี,อุดรธานี,2
45,45,หนองบัวลำภู,หนองบัวลำภู,1
45,45,สุรินทร์,สุรินทร์,1
45,45,สุราษฎร์ธานี,สุราษฎร์ธานี,1
45,45,สระแก้ว,สระแก้ว,1
45,45,สระบุรี,สระบุรี,1
45,45,สมุทรปราการ,สมุทรปราการ,1
45,45,สตูล,สตูล,1
45,45,สงขลา,สงขลา,2
45,45,สกลนคร,สกลนคร,1
45,45,ศรีสะเกษ,ศรีสะเกษ,1
