สัปดาห์-value,สัปดาห์-alias,จังหวัด-value,จังหวัด-alias,AGG(ข้อมูล)-alias
53,53,%all%,%all%,0
53,53,กรุงเทพมหานคร,กรุงเทพมหานคร,0
52,52,%all%,%all%,67
52,52,แม่ฮ่องสอน,แม่ฮ่องสอน,1
52,52,แพร่,แพร่,0
52,52,เลย,เลย,0
52,52,เพชรบูรณ์,เพชรบูรณ์,1
52,52,เชียงใหม่,เชียงใหม่,0
52,52,เชียงราย,เชียงราย,2
52,52,อุบลราชธานี,อุบลราชธานี,4
52,52,อุทัยธานี,อุทัยธานี,1
52,52,อุตรดิตถ์,อุตรดิตถ์,0
52,52,อุดรธานี,อุดรธานี,0
52,52,อำนาจเจริญ,อำนาจเจริญ,0
52,52,หนองบัวลำภู,หนองบัวลำภู,1
52,52,หนองคาย,หนองคาย,6
52,52,สุรินทร์,สุรินทร์,3
52,52,สุราษฎร์ธานี,สุราษฎร์ธานี,1
52,52,สุพรรณบุรี,สุพรรณบุรี,0
52,52,สระแก้ว,สระแก้ว,0
52,52,สระบุรี,สระบุรี,1
52,52,สมุทรปราการ,สมุทรปราการ,1
52,52,สตูล,สตูล,1
52,52,สงขลา,สงขลา,1
52,52,สกลนคร,สกลนคร,1
52,52,ศรีสะเกษ,ศรีสะเกษ,2
52,52,ลำพูน,ลำพูน,0
52,52,ลำปาง,ลำปาง,0
52,52,ร้อยเอ็ด,ร้อยเอ็ด,0
52,52,ราชบุรี,ราชบุรี,1
52,52,ระนอง,ระนอง,1
52,52,มหาสารคาม,มหาสารคาม,2
52,52,ภูเก็ต,ภูเก็ต,1
52,52,พิษณุโลก,พิษณุโลก,1
52,52,พิจิตร,พิจิตร,1
52,52,พัทลุง,พัทลุง,0
52,52,พังงา,พังงา,1
52,52,พะเยา,พะเยา,2
52,52,พระนครศรีอยุธยา,พระนครศรีอยุธยา,1
52,52,ปัตตานี,ปัตตานี,1
52,52,ปราจีนบุรี,ปราจีนบุรี,1
52,52,ปทุมธานี,ปทุมธานี,5
52,52,บุรีรัมย์,บุรีรัมย์,7
52,52,บึงกาฬ,บึงกาฬ,0
52,52,น่าน,น่าน,1
52,52,นนทบุรี,นนทบุรี,0
52,52,นครศรีธรรมราช,นครศรีธรรมราช,6
52,52,นครราชสีมา,นครราชสีมา,0
52,52,นครพนม,นครพนม,0
52,52,ตาก,ตาก,2
52,52,ตราด,ตราด,0
52,52,ชุมพร,ชุมพร,1
52,52,ชัยภูมิ,ชัยภูมิ,3
52,52,ชลบุรี,ชลบุรี,0
52,52,ฉะเชิงเทรา,ฉะเชิงเทรา,0
52,52,จันทบุรี,จันทบุรี,0
52,52,ขอนแก่น,ขอนแก่น,1
52,52,กำแพงเพชร,กำแพงเพชร,0
52,52,กาฬสินธุ์,กาฬสินธุ์,1
52,52,กาญจนบุรี,กาญจนบุรี,0
52,52,กรุงเทพมหานคร,กรุงเทพมหานคร,0
51,51,%all%,%all%,99
51,51,แม่ฮ่องสอน,แม่ฮ่องสอน,1
51,51,แพร่,แพร่,0
51,51,เลย,เลย,0
51,51,เพชรบูรณ์,เพชรบูรณ์,4
51,51,เพชรบุรี,เพชรบุรี,0
51,51,เชียงใหม่,เชียงใหม่,8
51,51,เชียงราย,เชียงราย,3
51,51,อุบลราชธานี,อุบลราชธานี,11
51,51,อุทัยธานี,อุทัยธานี,0
51,51,อุตรดิตถ์,อุตรดิตถ์,1
51,51,อุดรธานี,อุดรธานี,0
51,51,อำนาจเจริญ,อำนาจเจริญ,0
51,51,หนองบัวลำภู,หนองบัวลำภู,0
51,51,หนองคาย,หนองคาย,1
51,51,สุโขทัย,สุโขทัย,0
51,51,สุรินทร์,สุรินทร์,3
51,51,สุราษฎร์ธานี,สุราษฎร์ธานี,1
51,51,สุพรรณบุรี,สุพรรณบุรี,1
51,51,สิงห์บุรี,สิงห์บุรี,0
51,51,สระแก้ว,สระแก้ว,2
51,51,สระบุรี,สระบุรี,1
51,51,สมุทรสาคร,สมุทรสาคร,0
51,51,สมุทรสงคราม,สมุทรสงคราม,0
51,51,สมุทรปราการ,สมุทรปราการ,5
51,51,สตูล,สตูล,0
51,51,สงขลา,สงขลา,3
51,51,สกลนคร,สกลนคร,1
51,51,ศรีสะเกษ,ศรีสะเกษ,4
51,51,ลำพูน,ลำพูน,0
51,51,ลำปาง,ลำปาง,0
51,51,ลพบุรี,ลพบุรี,0
51,51,ร้อยเอ็ด,ร้อยเอ็ด,1
51,51,ราชบุรี,ราชบุรี,2
51,51,ระยอง,ระยอง,1
51,51,ระนอง,ระนอง,0
51,51,ยโสธร,ยโสธร,0
51,51,ยะลา,ยะลา,0
51,51,มุกดาหาร,มุกดาหาร,0
51,51,มหาสารคาม,มหาสารคาม,0
51,51,ภูเก็ต,ภูเก็ต,2
