สัปดาห์-value,สัปดาห์-alias,จังหวัด-value,จังหวัด-alias,AGG(ข้อมูล)-alias
50,50,%all%,%all%,0
50,50,อุบลราชธานี,อุบลราชธานี,0
50,50,ราชบุรี,ราชบุรี,0
49,49,%all%,%all%,0
49,49,เชียงใหม่,เชียงใหม่,0
49,49,อุบลราชธานี,อุบลราชธานี,0
47,47,%all%,%all%,0
47,47,ศรีสะเกษ,ศรีสะเกษ,0
45,45,%all%,%all%,0
45,45,เชียงราย,เชียงราย,0
41,41,%all%,%all%,0
41,41,เชียงใหม่,เชียงใหม่,0
41,41,ตาก,ตาก,0
41,41,กรุงเทพมหานคร,กรุงเทพมหานคร,0
40,40,%all%,%all%,0
40,40,เชียงราย,เชียงราย,0
39,39,%all%,%all%,0
39,39,อุบลราชธานี,อุบลราชธานี,0
37,37,%all%,%all%,1
37,37,ไม่ระบุ,ไม่ระบุ,0
37,37,อุบลราชธานี,อุบลราชธานี,0
37,37,สระบุรี,สระบุรี,1
35,35,%all%,%all%,0
35,35,ฉะเชิงเทรา,ฉะเชิงเทรา,0
34,34,%all%,%all%,0
34,34,ปทุมธานี,ปทุมธานี,0
34,34,ฉะเชิงเทรา,ฉะเชิงเทรา,0
33,33,%all%,%all%,0
33,33,อุบลราชธานี,อุบลราชธานี,0
32,32,%all%,%all%,0
32,32,ตาก,ตาก,0
31,31,%all%,%all%,0
31,31,กรุงเทพมหานคร,กรุงเทพมหานคร,0
29,29,%all%,%all%,0
29,29,ภูเก็ต,ภูเก็ต,0
26,26,%all%,%all%,0
26,26,สุโขทัย,สุโขทัย,0
24,24,%all%,%all%,0
24,24,สุพรรณบุรี,สุพรรณบุรี,0
23,23,%all%,%all%,0
23,23,อุดรธานี,อุดรธานี,0
20,20,%all%,%all%,0
20,20,มหาสารคาม,มหาสารคาม,0
19,19,%all%,%all%,0
19,19,อุบลราชธานี,อุบลราชธานี,0
17,17,%all%,%all%,0
17,17,อุบลราชธานี,อุบลราชธานี,0
15,15,%all%,%all%,0
15,15,อุบลราชธานี,อุบลราชธานี,0
14,14,%all%,%all%,0
14,14,เชียงราย,เชียงราย,0
14,14,อุบลราชธานี,อุบลราชธานี,0
13,13,%all%,%all%,3
13,13,เชียงราย,เชียงราย,1
13,13,อุบลราชธานี,อุบลราชธานี,0
13,13,นครพนม,นครพนม,1
13,13,ขอนแก่น,ขอนแก่น,1
11,11,%all%,%all%,0
11,11,ฉะเชิงเทรา,ฉะเชิงเทรา,0
8,8,%all%,%all%,0
8,8,อุบลราชธานี,อุบลราชธานี,0
6,6,%all%,%all%,0
6,6,อุบลราชธานี,อุบลราชธานี,0
4,4,%all%,%all%,0
4,4,อุบลราชธานี,อุบลราชธานี,0
3,3,%all%,%all%,0
3,3,เชียงราย,เชียงราย,0
3,3,อุบลราชธานี,อุบลราชธานี,0
3,3,สงขลา,สงขลา,0
3,3,นครราชสีมา,นครราชสีมา,0
2,2,%all%,%all%,0
2,2,สระแก้ว,สระแก้ว,0
1,1,%all%,%all%,0
1,1,สุราษฎร์ธานี,สุราษฎร์ธานี,0
1,1,ขอนแก่น,ขอนแก่น,0
%all%,%all%,%all%,%all%,4
%all%,%all%,ไม่ระบุ,ไม่ระบุ,0
%all%,%all%,เชียงใหม่,เชียงใหม่,0
%all%,%all%,เชียงราย,เชียงราย,1
%all%,%all%,อุบลราชธานี,อุบลราชธานี,0
%all%,%all%,อุดรธานี,อุดรธานี,0
%all%,%all%,สุโขทัย,สุโขทัย,0
%all%,%all%,สุราษฎร์ธานี,สุราษฎร์ธานี,0
%all%,%all%,สุพรรณบุรี,สุพรรณบุรี,0
%all%,%all%,สระแก้ว,สระแก้ว,0
%all%,%all%,สระบุรี,สระบุรี,1
%all%,%all%,สงขลา,สงขลา,0
%all%,%all%,ศรีสะเกษ,ศรีสะเกษ,0
%all%,%all%,ราชบุรี,ราชบุรี,0
%all%,%all%,มหาสารคาม,มหาสารคาม,0
%all%,%all%,ภูเก็ต,ภูเก็ต,0
%all%,%all%,ปทุมธานี,ปทุมธานี,0
%all%,%all%,นครราชสีมา,นครราชสีมา,0
%all%,%all%,นครพนม,นครพนม,1
%all%,%all%,ตาก,ตาก,0
%all%,%all%,ฉะเชิงเทรา,ฉะเชิงเทรา,0
%all%,%all%,ขอนแก่น,ขอนแก่น,1
%all%,%all%,กรุงเทพมหานคร,กรุงเทพมหานคร,0
