สัปดาห์-value,สัปดาห์-alias,จังหวัด-value,จังหวัด-alias,AGG(ข้อมูล)-alias
52,52,%all%,%all%,2
52,52,อุบลราชธานี,อุบลราชธานี,1
52,52,ศรีสะเกษ,ศรีสะเกษ,0
52,52,ยโสธร,ยโสธร,0
52,52,บุรีรัมย์,บุรีรัมย์,0
52,52,นครศรีธรรมราช,นครศรีธรรมราช,1
52,52,กรุงเทพมหานคร,กรุงเทพมหานคร,0
51,51,%all%,%all%,0
51,51,อุบลราชธานี,อุบลราชธานี,0
51,51,ระยอง,ระยอง,0
51,51,ยโสธร,ยโสธร,0
50,50,%all%,%all%,0
50,50,เพชรบุรี,เพชรบุรี,0
50,50,ระยอง,ระยอง,0
50,50,นนทบุรี,นนทบุรี,0
49,49,%all%,%all%,0
49,49,สมุทรสาคร,สมุทรสาคร,0
49,49,ศรีสะเกษ,ศรีสะเกษ,0
49,49,ระยอง,ระยอง,0
49,49,บุรีรัมย์,บุรีรัมย์,0
48,48,%all%,%all%,0
48,48,อุบลราชธานี,อุบลราชธานี,0
47,47,%all%,%all%,1
47,47,ระยอง,ระยอง,0
47,47,นนทบุรี,นนทบุรี,1
47,47,ตาก,ตาก,0
46,46,%all%,%all%,0
46,46,ระยอง,ระยอง,0
45,45,%all%,%all%,1
45,45,เชียงใหม่,เชียงใหม่,0
45,45,อุบลราชธานี,อุบลราชธานี,1
45,45,สระแก้ว,สระแก้ว,0
45,45,ระยอง,ระยอง,0
45,45,ชัยภูมิ,ชัยภูมิ,0
44,44,%all%,%all%,0
44,44,อุบลราชธานี,อุบลราชธานี,0
44,44,นครศรีธรรมราช,นครศรีธรรมราช,0
43,43,%all%,%all%,0
43,43,นครสวรรค์,นครสวรรค์,0
42,42,%all%,%all%,2
42,42,อุบลราชธานี,อุบลราชธานี,0
42,42,นครศรีธรรมราช,นครศรีธรรมราช,1
42,42,จันทบุรี,จันทบุรี,0
42,42,ขอนแก่น,ขอนแก่น,1
42,42,กาญจนบุรี,กาญจนบุรี,0
41,41,%all%,%all%,2
41,41,ระยอง,ระยอง,0
41,41,ยะลา,ยะลา,0
41,41,นครศรีธรรมราช,นครศรีธรรมราช,2
40,40,%all%,%all%,0
40,40,อุตรดิตถ์,อุตรดิตถ์,0
40,40,สงขลา,สงขลา,0
39,39,%all%,%all%,1
39,39,อุบลราชธานี,อุบลราชธานี,0
39,39,นนทบุรี,นนทบุรี,1
39,39,นครสวรรค์,นครสวรรค์,0
39,39,นครพนม,นครพนม,0
39,39,ชลบุรี,ชลบุรี,0
39,39,ขอนแก่น,ขอนแก่น,0
38,38,%all%,%all%,0
38,38,สงขลา,สงขลา,0
38,38,ลำพูน,ลำพูน,0
38,38,ร้อยเอ็ด,ร้อยเอ็ด,0
38,38,พระนครศรีอยุธยา,พระนครศรีอยุธยา,0
38,38,นนทบุรี,นนทบุรี,0
37,37,%all%,%all%,1
37,37,ยโสธร,ยโสธร,1
37,37,นครสวรรค์,นครสวรรค์,0
37,37,นครปฐม,นครปฐม,0
37,37,ตาก,ตาก,0
35,35,%all%,%all%,1
35,35,เชียงใหม่,เชียงใหม่,0
35,35,ปัตตานี,ปัตตานี,0
35,35,บุรีรัมย์,บุรีรัมย์,0
35,35,นครศรีธรรมราช,นครศรีธรรมราช,1
35,35,นครพนม,นครพนม,0
35,35,ชลบุรี,ชลบุรี,0
34,34,%all%,%all%,1
34,34,แม่ฮ่องสอน,แม่ฮ่องสอน,0
34,34,ยโสธร,ยโสธร,0
34,34,นนทบุรี,นนทบุรี,0
34,34,นครศรีธรรมราช,นครศรีธรรมราช,1
33,33,%all%,%all%,1
33,33,อุบลราชธานี,อุบลราชธานี,0
33,33,สุรินทร์,สุรินทร์,0
33,33,สระแก้ว,สระแก้ว,0
33,33,สงขลา,สงขลา,0
33,33,ระยอง,ระยอง,1
33,33,ยะลา,ยะลา,0
32,32,%all%,%all%,1
32,32,นนทบุรี,นนทบุรี,0
32,32,นครศรีธรรมราช,นครศรีธรรมราช,1
31,31,%all%,%all%,1
31,31,อุบลราชธานี,อุบลราชธานี,0
31,31,สุราษฎร์ธานี,สุราษฎร์ธานี,0
31,31,นครศรีธรรมราช,นครศรีธรรมราช,1
30,30,%all%,%all%,0
30,30,แม่ฮ่องสอน,แม่ฮ่องสอน,0
30,30,เชียงใหม่,เชียงใหม่,0
30,30,อุบลราชธานี,อุบลราชธานี,0
30,30,อุดรธานี,อุดรธานี,0
30,30,สงขลา,สงขลา,0
30,30,ยะลา,ยะลา,0
30,30,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,0
29,29,%all%,%all%,1
29,29,เชียงราย,เชียงราย,0
29,29,ยะลา,ยะลา,0
29,29,บุรีรัมย์,บุรีรัมย์,1
29,29,ตาก,ตาก,0
28,28,%all%,%all%,1
28,28,เชียงราย,เชียงราย,1
28,28,อุบลราชธานี,อุบลราชธานี,0
27,27,%all%,%all%,0
27,27,แม่ฮ่องสอน,แม่ฮ่องสอน,0
27,27,เชียงใหม่,เชียงใหม่,0
27,27,ศรีสะเกษ,ศรีสะเกษ,0
27,27,นนทบุรี,นนทบุรี,0
27,27,นครสวรรค์,นครสวรรค์,0
27,27,ตาก,ตาก,0
26,26,%all%,%all%,0
26,26,อุดรธานี,อุดรธานี,0
26,26,ระยอง,ระยอง,0
26,26,นครพนม,นครพนม,0
26,26,กรุงเทพมหานคร,กรุงเทพมหานคร,0
25,25,%all%,%all%,0
25,25,สุรินทร์,สุรินทร์,0
25,25,ฉะเชิงเทรา,ฉะเชิงเทรา,0
23,23,%all%,%all%,0
23,23,เลย,เลย,0
23,23,อุบลราชธานี,อุบลราชธานี,0
23,23,สุรินทร์,สุรินทร์,0
23,23,บุรีรัมย์,บุรีรัมย์,0
23,23,นครศรีธรรมราช,นครศรีธรรมราช,0
22,22,%all%,%all%,1
22,22,แม่ฮ่องสอน,แม่ฮ่องสอน,0
22,22,อุบลราชธานี,อุบลราชธานี,1
22,22,นนทบุรี,นนทบุรี,0
22,22,ตาก,ตาก,0
21,21,%all%,%all%,0
21,21,สงขลา,สงขลา,0
21,21,ศรีสะเกษ,ศรีสะเกษ,0
21,21,บุรีรัมย์,บุรีรัมย์,0
20,20,%all%,%all%,0
20,20,แม่ฮ่องสอน,แม่ฮ่องสอน,0
20,20,สกลนคร,สกลนคร,0
20,20,บุรีรัมย์,บุรีรัมย์,0
19,19,%all%,%all%,1
19,19,อุบลราชธานี,อุบลราชธานี,1
19,19,สงขลา,สงขลา,0
19,19,นนทบุรี,นนทบุรี,0
18,18,%all%,%all%,1
18,18,เชียงใหม่,เชียงใหม่,0
18,18,ระยอง,ระยอง,0
18,18,ยะลา,ยะลา,0
18,18,ขอนแก่น,ขอนแก่น,1
17,17,%all%,%all%,0
17,17,เชียงราย,เชียงราย,0
17,17,อุบลราชธานี,อุบลราชธานี,0
17,17,สงขลา,สงขลา,0
17,17,ชลบุรี,ชลบุรี,0
16,16,%all%,%all%,1
16,16,แม่ฮ่องสอน,แม่ฮ่องสอน,0
16,16,สงขลา,สงขลา,1
15,15,%all%,%all%,0
15,15,ระยอง,ระยอง,0
15,15,ชลบุรี,ชลบุรี,0
14,14,%all%,%all%,0
14,14,เชียงใหม่,เชียงใหม่,0
14,14,ร้อยเอ็ด,ร้อยเอ็ด,0
14,14,นครพนม,นครพนม,0
13,13,%all%,%all%,0
13,13,เชียงใหม่,เชียงใหม่,0
13,13,อุบลราชธานี,อุบลราชธานี,0
13,13,ระยอง,ระยอง,0
12,12,%all%,%all%,1
12,12,เชียงราย,เชียงราย,1
12,12,อุบลราชธานี,อุบลราชธานี,0
12,12,ศรีสะเกษ,ศรีสะเกษ,0
12,12,ระยอง,ระยอง,0
12,12,นครศรีธรรมราช,นครศรีธรรมราช,0
11,11,%all%,%all%,0
11,11,แม่ฮ่องสอน,แม่ฮ่องสอน,0
11,11,อุบลราชธานี,อุบลราชธานี,0
11,11,ระยอง,ระยอง,0
11,11,มหาสารคาม,มหาสารคาม,0
10,10,%all%,%all%,1
10,10,สุรินทร์,สุรินทร์,0
10,10,สมุทรปราการ,สมุทรปราการ,0
10,10,ระยอง,ระยอง,0
10,10,บุรีรัมย์,บุรีรัมย์,0
10,10,ขอนแก่น,ขอนแก่น,1
9,9,%all%,%all%,0
9,9,เลย,เลย,0
9,9,อุบลราชธานี,อุบลราชธานี,0
