สัปดาห์-value,สัปดาห์-alias,จังหวัด-value,จังหวัด-alias,AGG(ข้อมูล)-alias
52,52,%all%,%all%,4
52,52,อุบลราชธานี,อุบลราชธานี,1
52,52,อำนาจเจริญ,อำนาจเจริญ,0
52,52,สุรินทร์,สุรินทร์,0
52,52,สงขลา,สงขลา,0
52,52,ศรีสะเกษ,ศรีสะเกษ,1
52,52,ร้อยเอ็ด,ร้อยเอ็ด,0
52,52,ภูเก็ต,ภูเก็ต,1
52,52,ปัตตานี,ปัตตานี,0
52,52,ปราจีนบุรี,ปราจีนบุรี,0
52,52,ชลบุรี,ชลบุรี,1
52,52,ขอนแก่น,ขอนแก่น,0
51,51,%all%,%all%,5
51,51,เลย,เลย,0
51,51,อุบลราชธานี,อุบลราชธานี,0
51,51,สุรินทร์,สุรินทร์,1
51,51,ศรีสะเกษ,ศรีสะเกษ,0
51,51,ยโสธร,ยโสธร,1
51,51,พัทลุง,พัทลุง,0
51,51,พังงา,พังงา,0
51,51,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,1
51,51,บุรีรัมย์,บุรีรัมย์,0
51,51,นราธิวาส,นราธิวาส,2
51,51,ตรัง,ตรัง,0
51,51,ชัยภูมิ,ชัยภูมิ,0
51,51,จันทบุรี,จันทบุรี,0
50,50,%all%,%all%,9
50,50,เลย,เลย,0
50,50,เชียงใหม่,เชียงใหม่,1
50,50,เชียงราย,เชียงราย,0
50,50,อุบลราชธานี,อุบลราชธานี,0
50,50,อุดรธานี,อุดรธานี,1
50,50,อำนาจเจริญ,อำนาจเจริญ,0
50,50,หนองคาย,หนองคาย,1
50,50,สุรินทร์,สุรินทร์,0
50,50,สุราษฎร์ธานี,สุราษฎร์ธานี,0
50,50,สมุทรปราการ,สมุทรปราการ,0
50,50,สงขลา,สงขลา,1
50,50,ศรีสะเกษ,ศรีสะเกษ,1
50,50,ยโสธร,ยโสธร,3
50,50,ยะลา,ยะลา,0
50,50,บุรีรัมย์,บุรีรัมย์,0
50,50,ตรัง,ตรัง,1
50,50,ชุมพร,ชุมพร,0
50,50,ชัยภูมิ,ชัยภูมิ,0
50,50,จันทบุรี,จันทบุรี,0
49,49,%all%,%all%,7
49,49,เชียงใหม่,เชียงใหม่,1
49,49,อุบลราชธานี,อุบลราชธานี,2
49,49,อุดรธานี,อุดรธานี,0
49,49,สุรินทร์,สุรินทร์,0
49,49,สุราษฎร์ธานี,สุราษฎร์ธานี,0
49,49,สุพรรณบุรี,สุพรรณบุรี,0
49,49,สงขลา,สงขลา,1
