สัปดาห์-value,สัปดาห์-alias,จังหวัด-value,จังหวัด-alias,AGG(ข้อมูล)-alias
52,52,%all%,%all%,1
52,52,ปัตตานี,ปัตตานี,0
52,52,กรุงเทพมหานคร,กรุงเทพมหานคร,1
51,51,%all%,%all%,0
51,51,ปัตตานี,ปัตตานี,0
49,49,%all%,%all%,0
49,49,กรุงเทพมหานคร,กรุงเทพมหานคร,0
48,48,%all%,%all%,1
48,48,ปัตตานี,ปัตตานี,0
48,48,ปทุมธานี,ปทุมธานี,1
47,47,%all%,%all%,1
47,47,นนทบุรี,นนทบุรี,1
47,47,นครปฐม,นครปฐม,0
46,46,%all%,%all%,1
46,46,กรุงเทพมหานคร,กรุงเทพมหานคร,1
45,45,%all%,%all%,1
45,45,ปัตตานี,ปัตตานี,0
45,45,กรุงเทพมหานคร,กรุงเทพมหานคร,1
44,44,%all%,%all%,8
44,44,นนทบุรี,นนทบุรี,1
44,44,กรุงเทพมหานคร,กรุงเทพมหานคร,7
43,43,%all%,%all%,6
43,43,ปัตตานี,ปัตตานี,0
43,43,นนทบุรี,นนทบุรี,1
43,43,กรุงเทพมหานคร,กรุงเทพมหานคร,5
42,42,%all%,%all%,1
42,42,อุบลราชธานี,อุบลราชธานี,0
42,42,กรุงเทพมหานคร,กรุงเทพมหานคร,1
40,40,%all%,%all%,1
40,40,กรุงเทพมหานคร,กรุงเทพมหานคร,1
39,39,%all%,%all%,0
39,39,กรุงเทพมหานคร,กรุงเทพมหานคร,0
37,37,%all%,%all%,0
37,37,อุบลราชธานี,อุบลราชธานี,0
37,37,ปัตตานี,ปัตตานี,0
36,36,%all%,%all%,0
36,36,กรุงเทพมหานคร,กรุงเทพมหานคร,0
34,34,%all%,%all%,0
34,34,เชียงใหม่,เชียงใหม่,0
25,25,%all%,%all%,1
25,25,ลำพูน,ลำพูน,1
25,25,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,0
17,17,%all%,%all%,0
17,17,ปัตตานี,ปัตตานี,0
16,16,%all%,%all%,1
16,16,ปัตตานี,ปัตตานี,0
16,16,นราธิวาส,นราธิวาส,1
15,15,%all%,%all%,0
15,15,ปัตตานี,ปัตตานี,0
14,14,%all%,%all%,1
14,14,ยะลา,ยะลา,1
13,13,%all%,%all%,1
13,13,ยะลา,ยะลา,1
12,12,%all%,%all%,0
12,12,เชียงใหม่,เชียงใหม่,0
9,9,%all%,%all%,1
9,9,นราธิวาส,นราธิวาส,1
8,8,%all%,%all%,0
8,8,กรุงเทพมหานคร,กรุงเทพมหานคร,0
7,7,%all%,%all%,0
7,7,ตาก,ตาก,0
6,6,%all%,%all%,1
6,6,เชียงใหม่,เชียงใหม่,0
6,6,สมุทรปราการ,สมุทรปราการ,0
6,6,ปัตตานี,ปัตตานี,1
5,5,%all%,%all%,0
5,5,สระบุรี,สระบุรี,0
5,5,นนทบุรี,นนทบุรี,0
4,4,%all%,%all%,1
4,4,ยะลา,ยะลา,1
4,4,นนทบุรี,นนทบุรี,0
2,2,%all%,%all%,1
2,2,ยะลา,ยะลา,1
1,1,%all%,%all%,1
1,1,นราธิวาส,นราธิวาส,1
%all%,%all%,%all%,%all%,30
%all%,%all%,เชียงใหม่,เชียงใหม่,0
%all%,%all%,อุบลราชธานี,อุบลราชธานี,0
%all%,%all%,สระบุรี,สระบุรี,0
%all%,%all%,สมุทรปราการ,สมุทรปราการ,0
%all%,%all%,ลำพูน,ลำพูน,1
%all%,%all%,ยะลา,ยะลา,4
%all%,%all%,ปัตตานี,ปัตตานี,1
%all%,%all%,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,0
%all%,%all%,ปทุมธานี,ปทุมธานี,1
%all%,%all%,นราธิวาส,นราธิวาส,3
%all%,%all%,นนทบุรี,นนทบุรี,3
%all%,%all%,นครปฐม,นครปฐม,0
%all%,%all%,ตาก,ตาก,0
%all%,%all%,กรุงเทพมหานคร,กรุงเทพมหานคร,17
