สัปดาห์-value,สัปดาห์-alias,จังหวัด-value,จังหวัด-alias,AGG(ข้อมูล)-alias
49,49,%all%,%all%,133
49,49,แม่ฮ่องสอน,แม่ฮ่องสอน,1
49,49,แพร่,แพร่,1
49,49,เลย,เลย,1
49,49,เพชรบูรณ์,เพชรบูรณ์,1
49,49,เชียงใหม่,เชียงใหม่,4
49,49,เชียงราย,เชียงราย,0
49,49,อุบลราชธานี,อุบลราชธานี,1
49,49,อุตรดิตถ์,อุตรดิตถ์,4
49,49,อุดรธานี,อุดรธานี,1
49,49,หนองคาย,หนองคาย,0
49,49,สุโขทัย,สุโขทัย,2
49,49,สุราษฎร์ธานี,สุราษฎร์ธานี,1
49,49,สุพรรณบุรี,สุพรรณบุรี,2
49,49,สมุทรสาคร,สมุทรสาคร,6
49,49,สมุทรสงคราม,สมุทรสงคราม,1
49,49,สมุทรปราการ,สมุทรปราการ,3
49,49,สงขลา,สงขลา,5
49,49,ศรีสะเกษ,ศรีสะเกษ,3
49,49,ลำพูน,ลำพูน,3
49,49,ลำปาง,ลำปาง,9
49,49,ระยอง,ระยอง,2
49,49,ยโสธร,ยโสธร,1
49,49,มหาสารคาม,มหาสารคาม,3
49,49,ภูเก็ต,ภูเก็ต,4
49,49,พิษณุโลก,พิษณุโลก,3
49,49,พัทลุง,พัทลุง,4
49,49,พระนครศรีอยุธยา,พระนครศรีอยุธยา,5
49,49,บุรีรัมย์,บุรีรัมย์,5
49,49,นราธิวาส,นราธิวาส,1
49,49,นนทบุรี,นนทบุรี,2
49,49,นครสวรรค์,นครสวรรค์,5
49,49,นครศรีธรรมราช,นครศรีธรรมราช,13
49,49,นครราชสีมา,นครราชสีมา,4
49,49,นครปฐม,นครปฐม,2
49,49,นครนายก,นครนายก,1
49,49,ตรัง,ตรัง,3
49,49,ชัยภูมิ,ชัยภูมิ,1
49,49,ชลบุรี,ชลบุรี,6
49,49,ฉะเชิงเทรา,ฉะเชิงเทรา,2
49,49,ขอนแก่น,ขอนแก่น,1
49,49,กำแพงเพชร,กำแพงเพชร,3
49,49,กาญจนบุรี,กาญจนบุรี,2
49,49,กรุงเทพมหานคร,กรุงเทพมหานคร,11
48,48,%all%,%all%,929
48,48,ไม่ระบุ,ไม่ระบุ,2
48,48,แม่ฮ่องสอน,แม่ฮ่องสอน,4
48,48,แพร่,แพร่,5
48,48,เลย,เลย,2
48,48,เพชรบูรณ์,เพชรบูรณ์,23
48,48,เพชรบุรี,เพชรบุรี,9
48,48,เชียงใหม่,เชียงใหม่,22
48,48,เชียงราย,เชียงราย,9
48,48,อ่างทอง,อ่างทอง,6
48,48,อุบลราชธานี,อุบลราชธานี,11
48,48,อุทัยธานี,อุทัยธานี,1
48,48,อุตรดิตถ์,อุตรดิตถ์,11
48,48,อุดรธานี,อุดรธานี,2
48,48,หนองคาย,หนองคาย,2
48,48,สุโขทัย,สุโขทัย,7
48,48,สุรินทร์,สุรินทร์,20
48,48,สุราษฎร์ธานี,สุราษฎร์ธานี,27
48,48,สุพรรณบุรี,สุพรรณบุรี,3
48,48,สิงห์บุรี,สิงห์บุรี,2
48,48,สระแก้ว,สระแก้ว,7
48,48,สระบุรี,สระบุรี,7
48,48,สมุทรสาคร,สมุทรสาคร,20
48,48,สมุทรสงคราม,สมุทรสงคราม,4
48,48,สมุทรปราการ,สมุทรปราการ,9
48,48,สตูล,สตูล,1
48,48,สงขลา,สงขลา,18
48,48,ศรีสะเกษ,ศรีสะเกษ,7
48,48,ลำพูน,ลำพูน,15
48,48,ลำปาง,ลำปาง,58
48,48,ลพบุรี,ลพบุรี,2
48,48,ร้อยเอ็ด,ร้อยเอ็ด,2
48,48,ราชบุรี,ราชบุรี,4
48,48,ระยอง,ระยอง,15
48,48,ระนอง,ระนอง,3
48,48,ยะลา,ยะลา,2
48,48,มหาสารคาม,มหาสารคาม,8
48,48,ภูเก็ต,ภูเก็ต,14
48,48,พิษณุโลก,พิษณุโลก,41
48,48,พิจิตร,พิจิตร,21
48,48,พัทลุง,พัทลุง,21
48,48,พังงา,พังงา,3
48,48,พะเยา,พะเยา,6
48,48,พระนครศรีอยุธยา,พระนครศรีอยุธยา,24
48,48,ปัตตานี,ปัตตานี,1
48,48,ปราจีนบุรี,ปราจีนบุรี,5
48,48,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,2
48,48,ปทุมธานี,ปทุมธานี,9
48,48,บุรีรัมย์,บุรีรัมย์,7
48,48,บึงกาฬ,บึงกาฬ,3
48,48,น่าน,น่าน,8
48,48,นราธิวาส,นราธิวาส,6
48,48,นนทบุรี,นนทบุรี,22
48,48,นครสวรรค์,นครสวรรค์,22
48,48,นครศรีธรรมราช,นครศรีธรรมราช,30
48,48,นครราชสีมา,นครราชสีมา,50
48,48,นครปฐม,นครปฐม,7
48,48,นครนายก,นครนายก,2
48,48,ตาก,ตาก,24
48,48,ตรัง,ตรัง,14
48,48,ชุมพร,ชุมพร,10
48,48,ชัยภูมิ,ชัยภูมิ,8
48,48,ชัยนาท,ชัยนาท,4
48,48,ชลบุรี,ชลบุรี,44
48,48,ฉะเชิงเทรา,ฉะเชิงเทรา,13
48,48,จันทบุรี,จันทบุรี,4
48,48,ขอนแก่น,ขอนแก่น,9
48,48,กำแพงเพชร,กำแพงเพชร,13
48,48,กาฬสินธุ์,กาฬสินธุ์,1
48,48,กาญจนบุรี,กาญจนบุรี,12
