สัปดาห์-value,สัปดาห์-alias,จังหวัด-value,จังหวัด-alias,AGG(ข้อมูล)-alias
51,51,%all%,%all%,0
51,51,อุดรธานี,อุดรธานี,0
49,49,%all%,%all%,0
49,49,ภูเก็ต,ภูเก็ต,0
48,48,%all%,%all%,0
48,48,อุทัยธานี,อุทัยธานี,0
47,47,%all%,%all%,1
47,47,กรุงเทพมหานคร,กรุงเทพมหานคร,1
45,45,%all%,%all%,1
45,45,ภูเก็ต,ภูเก็ต,1
43,43,%all%,%all%,2
43,43,นนทบุรี,นนทบุรี,1
43,43,นครราชสีมา,นครราชสีมา,0
43,43,กรุงเทพมหานคร,กรุงเทพมหานคร,1
38,38,%all%,%all%,1
38,38,นนทบุรี,นนทบุรี,1
37,37,%all%,%all%,1
37,37,กรุงเทพมหานคร,กรุงเทพมหานคร,1
32,32,%all%,%all%,0
32,32,สงขลา,สงขลา,0
27,27,%all%,%all%,0
27,27,ปราจีนบุรี,ปราจีนบุรี,0
22,22,%all%,%all%,1
22,22,บุรีรัมย์,บุรีรัมย์,1
20,20,%all%,%all%,1
20,20,กรุงเทพมหานคร,กรุงเทพมหานคร,1
18,18,%all%,%all%,0
18,18,จันทบุรี,จันทบุรี,0
15,15,%all%,%all%,0
15,15,เพชรบูรณ์,เพชรบูรณ์,0
10,10,%all%,%all%,1
10,10,กรุงเทพมหานคร,กรุงเทพมหานคร,1
7,7,%all%,%all%,0
7,7,กรุงเทพมหานคร,กรุงเทพมหานคร,0
2,2,%all%,%all%,1
2,2,กรุงเทพมหานคร,กรุงเทพมหานคร,1
1,1,%all%,%all%,0
1,1,ชัยภูมิ,ชัยภูมิ,0
%all%,%all%,%all%,%all%,10
%all%,%all%,เพชรบูรณ์,เพชรบูรณ์,0
%all%,%all%,อุทัยธานี,อุทัยธานี,0
%all%,%all%,อุดรธานี,อุดรธานี,0
%all%,%all%,สงขลา,สงขลา,0
%all%,%all%,ภูเก็ต,ภูเก็ต,1
%all%,%all%,ปราจีนบุรี,ปราจีนบุรี,0
%all%,%all%,บุรีรัมย์,บุรีรัมย์,1
%all%,%all%,นนทบุรี,นนทบุรี,2
%all%,%all%,นครราชสีมา,นครราชสีมา,0
%all%,%all%,ชัยภูมิ,ชัยภูมิ,0
%all%,%all%,จันทบุรี,จันทบุรี,0
%all%,%all%,กรุงเทพมหานคร,กรุงเทพมหานคร,6
