สัปดาห์-value,สัปดาห์-alias,จังหวัด-value,จังหวัด-alias,AGG(ข้อมูล)-alias
3,3,%all%,%all%,0
3,3,แม่ฮ่องสอน,แม่ฮ่องสอน,0
3,3,ศรีสะเกษ,ศรีสะเกษ,0
3,3,กรุงเทพมหานคร,กรุงเทพมหานคร,0
2,2,%all%,%all%,1
2,2,อุบลราชธานี,อุบลราชธานี,0
2,2,ศรีสะเกษ,ศรีสะเกษ,0
2,2,ชลบุรี,ชลบุรี,1
1,1,%all%,%all%,0
1,1,พิษณุโลก,พิษณุโลก,0
1,1,นราธิวาส,นราธิวาส,0
1,1,นครสวรรค์,นครสวรรค์,0
%all%,%all%,%all%,%all%,1
%all%,%all%,แม่ฮ่องสอน,แม่ฮ่องสอน,0
%all%,%all%,อุบลราชธานี,อุบลราชธานี,0
%all%,%all%,ศรีสะเกษ,ศรีสะเกษ,0
%all%,%all%,พิษณุโลก,พิษณุโลก,0
%all%,%all%,นราธิวาส,นราธิวาส,0
%all%,%all%,นครสวรรค์,นครสวรรค์,0
%all%,%all%,ชลบุรี,ชลบุรี,1
%all%,%all%,กรุงเทพมหานคร,กรุงเทพมหานคร,0
