สัปดาห์-value,สัปดาห์-alias,จังหวัด-value,จังหวัด-alias,AGG(ข้อมูล)-alias
3,3,%all%,%all%,0
3,3,เชียงราย,เชียงราย,0
3,3,สงขลา,สงขลา,0
3,3,ระนอง,ระนอง,0
3,3,ยะลา,ยะลา,0
3,3,พังงา,พังงา,0
3,3,บึงกาฬ,บึงกาฬ,0
3,3,นครศรีธรรมราช,นครศรีธรรมราช,0
2,2,%all%,%all%,1
2,2,อุดรธานี,อุดรธานี,1
2,2,สงขลา,สงขลา,0
2,2,ระนอง,ระนอง,0
2,2,ยะลา,ยะลา,0
2,2,นครศรีธรรมราช,นครศรีธรรมราช,0
1,1,%all%,%all%,0
1,1,สตูล,สตูล,0
1,1,สงขลา,สงขลา,0
1,1,ระนอง,ระนอง,0
1,1,ยะลา,ยะลา,0
1,1,นครศรีธรรมราช,นครศรีธรรมราช,0
%all%,%all%,%all%,%all%,1
%all%,%all%,เชียงราย,เชียงราย,0
%all%,%all%,อุดรธานี,อุดรธานี,1
%all%,%all%,สตูล,สตูล,0
%all%,%all%,สงขลา,สงขลา,0
%all%,%all%,ระนอง,ระนอง,0
%all%,%all%,ยะลา,ยะลา,0
%all%,%all%,พังงา,พังงา,0
%all%,%all%,บึงกาฬ,บึงกาฬ,0
%all%,%all%,นครศรีธรรมราช,นครศรีธรรมราช,0
