สัปดาห์-value,สัปดาห์-alias,จังหวัด-value,จังหวัด-alias,AGG(ข้อมูล)-alias
52,52,%all%,%all%,0
52,52,อำนาจเจริญ,อำนาจเจริญ,0
52,52,สุรินทร์,สุรินทร์,0
51,51,%all%,%all%,0
51,51,เลย,เลย,0
51,51,จันทบุรี,จันทบุรี,0
50,50,%all%,%all%,0
50,50,เลย,เลย,0
50,50,เชียงราย,เชียงราย,0
49,49,%all%,%all%,0
49,49,อุบลราชธานี,อุบลราชธานี,0
49,49,สงขลา,สงขลา,0
49,49,ตราด,ตราด,0
49,49,ตรัง,ตรัง,0
48,48,%all%,%all%,0
48,48,ปราจีนบุรี,ปราจีนบุรี,0
48,48,นครศรีธรรมราช,นครศรีธรรมราช,0
48,48,จันทบุรี,จันทบุรี,0
47,47,%all%,%all%,0
47,47,อุบลราชธานี,อุบลราชธานี,0
47,47,สุรินทร์,สุรินทร์,0
47,47,สุราษฎร์ธานี,สุราษฎร์ธานี,0
47,47,ร้อยเอ็ด,ร้อยเอ็ด,0
47,47,ภูเก็ต,ภูเก็ต,0
47,47,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,0
46,46,%all%,%all%,0
46,46,เพชรบุรี,เพชรบุรี,0
46,46,เชียงราย,เชียงราย,0
46,46,ยโสธร,ยโสธร,0
46,46,พังงา,พังงา,0
46,46,กระบี่,กระบี่,0
45,45,%all%,%all%,0
45,45,เชียงราย,เชียงราย,0
45,45,อุบลราชธานี,อุบลราชธานี,0
45,45,สงขลา,สงขลา,0
45,45,พัทลุง,พัทลุง,0
45,45,ปัตตานี,ปัตตานี,0
45,45,ปราจีนบุรี,ปราจีนบุรี,0
45,45,นครศรีธรรมราช,นครศรีธรรมราช,0
45,45,ชุมพร,ชุมพร,0
45,45,ชัยภูมิ,ชัยภูมิ,0
45,45,กรุงเทพมหานคร,กรุงเทพมหานคร,0
44,44,%all%,%all%,0
44,44,เลย,เลย,0
44,44,อุบลราชธานี,อุบลราชธานี,0
44,44,สุรินทร์,สุรินทร์,0
44,44,สุราษฎร์ธานี,สุราษฎร์ธานี,0
44,44,นครราชสีมา,นครราชสีมา,0
43,43,%all%,%all%,0
43,43,เพชรบูรณ์,เพชรบูรณ์,0
43,43,อุบลราชธานี,อุบลราชธานี,0
43,43,อำนาจเจริญ,อำนาจเจริญ,0
43,43,สุรินทร์,สุรินทร์,0
43,43,สุราษฎร์ธานี,สุราษฎร์ธานี,0
43,43,สงขลา,สงขลา,0
43,43,ร้อยเอ็ด,ร้อยเอ็ด,0
43,43,ระยอง,ระยอง,0
43,43,ปราจีนบุรี,ปราจีนบุรี,0
43,43,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,0
43,43,ตรัง,ตรัง,0
43,43,กระบี่,กระบี่,0
42,42,%all%,%all%,0
42,42,เลย,เลย,0
42,42,อุบลราชธานี,อุบลราชธานี,0
42,42,สุราษฎร์ธานี,สุราษฎร์ธานี,0
42,42,ศรีสะเกษ,ศรีสะเกษ,0
42,42,ยโสธร,ยโสธร,0
42,42,พัทลุง,พัทลุง,0
42,42,พังงา,พังงา,0
42,42,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,0
42,42,บึงกาฬ,บึงกาฬ,0
42,42,นครสวรรค์,นครสวรรค์,0
42,42,ตาก,ตาก,0
42,42,ชัยภูมิ,ชัยภูมิ,0
41,41,%all%,%all%,0
41,41,เลย,เลย,0
41,41,อุบลราชธานี,อุบลราชธานี,0
41,41,หนองคาย,หนองคาย,0
41,41,ศรีสะเกษ,ศรีสะเกษ,0
41,41,ร้อยเอ็ด,ร้อยเอ็ด,0
41,41,ยโสธร,ยโสธร,0
41,41,น่าน,น่าน,0
41,41,ตาก,ตาก,0
41,41,ชัยภูมิ,ชัยภูมิ,0
40,40,%all%,%all%,0
40,40,เลย,เลย,0
40,40,เชียงราย,เชียงราย,0
40,40,อุบลราชธานี,อุบลราชธานี,0
40,40,สุรินทร์,สุรินทร์,0
40,40,สกลนคร,สกลนคร,0
40,40,ศรีสะเกษ,ศรีสะเกษ,0
40,40,ร้อยเอ็ด,ร้อยเอ็ด,0
40,40,ราชบุรี,ราชบุรี,0
40,40,ยโสธร,ยโสธร,0
40,40,พัทลุง,พัทลุง,0
40,40,ปราจีนบุรี,ปราจีนบุรี,0
40,40,ชุมพร,ชุมพร,0
40,40,กาญจนบุรี,กาญจนบุรี,0
39,39,%all%,%all%,0
39,39,เพชรบุรี,เพชรบุรี,0
39,39,อุบลราชธานี,อุบลราชธานี,0
39,39,อำนาจเจริญ,อำนาจเจริญ,0
39,39,หนองคาย,หนองคาย,0
39,39,สุรินทร์,สุรินทร์,0
