สัปดาห์-value,สัปดาห์-alias,จังหวัด-value,จังหวัด-alias,AGG(ข้อมูล)-alias
3,3,%all%,%all%,%null%
3,3,เชียงใหม่,เชียงใหม่,%null%
3,3,สงขลา,สงขลา,%null%
3,3,ยะลา,ยะลา,%null%
3,3,ปัตตานี,ปัตตานี,%null%
3,3,นราธิวาส,นราธิวาส,%null%
3,3,นครศรีธรรมราช,นครศรีธรรมราช,%null%
2,2,%all%,%all%,0
2,2,เชียงราย,เชียงราย,0
2,2,พะเยา,พะเยา,0
2,2,นราธิวาส,นราธิวาส,0
2,2,นครศรีธรรมราช,นครศรีธรรมราช,0
2,2,ฉะเชิงเทรา,ฉะเชิงเทรา,0
1,1,%all%,%all%,0
1,1,อุบลราชธานี,อุบลราชธานี,0
1,1,นครศรีธรรมราช,นครศรีธรรมราช,0
%all%,%all%,%all%,%all%,0
%all%,%all%,เชียงใหม่,เชียงใหม่,%null%
%all%,%all%,เชียงราย,เชียงราย,0
%all%,%all%,อุบลราชธานี,อุบลราชธานี,0
%all%,%all%,สงขลา,สงขลา,%null%
%all%,%all%,ยะลา,ยะลา,%null%
%all%,%all%,พะเยา,พะเยา,0
%all%,%all%,ปัตตานี,ปัตตานี,%null%
%all%,%all%,นราธิวาส,นราธิวาส,0
%all%,%all%,นครศรีธรรมราช,นครศรีธรรมราช,0
%all%,%all%,ฉะเชิงเทรา,ฉะเชิงเทรา,0
