"","disease","Method","split","date","mean","lower_95","lower_80","upper_80","upper_95"
"1","Genital herpes","Bayesian structural","2019",2019-01-01,212.04524930049,157.716959313436,174.42653038293,255.030711219383,286.658810177672
"2","Genital herpes","Bayesian structural","2019",2019-02-01,176.074331808486,127.682771867439,144.677875011645,212.578881584485,240.458574530813
"3","Genital herpes","Bayesian structural","2019",2019-03-01,209.22262232101,151.218845998578,169.658812675287,255.987586766896,288.403746926607
"4","Genital herpes","Bayesian structural","2019",2019-04-01,185.663635666034,130.568194045937,146.313689388434,234.662640093178,269.519521375619
"5","Genital herpes","Bayesian structural","2019",2019-05-01,200.192805313204,133.979251557,155.325538528993,256.121623057311,298.928163093908
"6","Genital herpes","Bayesian structural","2019",2019-06-01,202.967713053864,128.597261275888,152.989540625946,270.064793685587,315.088310792707
"7","Genital herpes","Bayesian structural","2019",2019-07-01,190.874984119048,119.479330088443,141.020521250089,258.906487339572,313.897815267982
"8","Genital herpes","Bayesian structural","2019",2019-08-01,194.232509740074,113.604185457342,138.585374584378,270.911523947303,330.931729449822
"9","Genital herpes","Bayesian structural","2019",2019-09-01,198.643961733968,108.622693097806,136.86487439863,285.420261434512,348.233859342734
"10","Genital herpes","Bayesian structural","2019",2019-10-01,179.217446439368,92.7401586504197,117.902350897974,264.670024067478,323.641182124244
"11","Genital herpes","Bayesian structural","2019",2019-11-01,171.979014627749,81.6649977567736,112.046821562208,265.971889456753,329.820596777467
"12","Genital herpes","Bayesian structural","2019",2019-12-01,144.105021596805,68.0937162863521,91.056871747025,233.873834000162,299.112401798844
"13","Genital herpes","Bayesian structural","2018-2019",2018-01-01,187.441013089882,141.63113486319,157.188533880281,223.874539253063,245.78781437157
"14","Genital herpes","Bayesian structural","2018-2019",2018-02-01,165.312943427497,122.584843794113,136.043647951561,200.666499005911,225.342497476332
"15","Genital herpes","Bayesian structural","2018-2019",2018-03-01,195.345176940061,138.173050078474,158.691177336533,245.467232255991,272.762773021332
"16","Genital herpes","Bayesian structural","2018-2019",2018-04-01,168.452099550557,117.556336587069,133.301855254014,216.119005307529,244.178958417271
"17","Genital herpes","Bayesian structural","2018-2019",2018-05-01,178.213078822175,116.551346815894,138.139506661284,230.642735760385,268.591024490792
"18","Genital herpes","Bayesian structural","2018-2019",2018-06-01,185.68360018437,119.369929818895,137.729813381608,247.70285437366,295.385834975011
"19","Genital herpes","Bayesian structural","2018-2019",2018-07-01,172.032898659651,106.73767669439,124.887044324853,233.548556855228,300.091967855881
"20","Genital herpes","Bayesian structural","2018-2019",2018-08-01,169.947190653556,98.1471359719476,117.696894949375,246.292313168251,307.243832016045
"21","Genital herpes","Bayesian structural","2018-2019",2018-09-01,180.420741325716,97.6913199504559,120.546845996052,269.028282488094,337.878676887051
"22","Genital herpes","Bayesian structural","2018-2019",2018-10-01,159.147957333003,84.6945939181587,102.104629024009,244.239537237913,341.084885301814
"23","Genital herpes","Bayesian structural","2018-2019",2018-11-01,149.442029738576,72.0258516382302,93.8296473253633,241.202609589882,327.56781203685
"24","Genital herpes","Bayesian structural","2018-2019",2018-12-01,133.455111389627,63.8753660435233,79.7232833872572,219.49338151282,307.635874369526
"25","Genital herpes","Bayesian structural","2018-2019",2019-01-01,180.739778216028,79.1065946621606,102.853158244745,311.962564750865,457.892331411729
"26","Genital herpes","Bayesian structural","2018-2019",2019-02-01,160.69105536626,63.2779001777955,89.6218403156273,286.871347080228,436.303765581698
"27","Genital herpes","Bayesian structural","2018-2019",2019-03-01,190.167510955845,74.4869125615143,99.952776462894,357.128598821642,594.640409906341
"28","Genital herpes","Bayesian structural","2018-2019",2019-04-01,163.671117570846,55.3655921932605,83.9862500080832,327.292958376423,544.536708880784
"29","Genital herpes","Bayesian structural","2018-2019",2019-05-01,171.545730690951,56.1792038596957,81.7412726142753,361.896662116765,586.306143130529
"30","Genital herpes","Bayesian structural","2018-2019",2019-06-01,179.797496728487,52.4700644350396,81.2498293029073,411.846540269788,663.474557597151
"31","Genital herpes","Bayesian structural","2018-2019",2019-07-01,165.853317791356,46.3985250328569,73.5308312744825,395.892662919116,672.289215456584
"32","Genital herpes","Bayesian structural","2018-2019",2019-08-01,165.240235568387,43.0534804949762,69.1782351124927,423.88208023697,747.757635098373
"33","Genital herpes","Bayesian structural","2018-2019",2019-09-01,174.093830452123,41.581020398942,70.1646743641717,463.693154051051,816.266222066062
"34","Genital herpes","Bayesian structural","2018-2019",2019-10-01,152.928404377476,34.4608971725962,59.0868594761483,422.774218479764,775.034433325787
"35","Genital herpes","Bayesian structural","2018-2019",2019-11-01,144.180600592363,29.6134729329073,52.5724328517678,427.222065002173,788.069483903472
"36","Genital herpes","Bayesian structural","2018-2019",2019-12-01,128.289045686021,23.2725539829224,42.7194699148887,410.967227217235,771.795201361959
"37","Genital herpes","Bayesian structural","2017-2019",2017-01-01,221.83402076467,168.912295084598,184.483192701727,269.560352148483,296.379208552479
"38","Genital herpes","Bayesian structural","2017-2019",2017-02-01,191.346209765679,140.639677970523,155.497774846011,234.978560567538,265.273216094326
"39","Genital herpes","Bayesian structural","2017-2019",2017-03-01,234.533350580502,167.897946968717,188.181378907154,291.344241756624,327.083637257929
"40","Genital herpes","Bayesian structural","2017-2019",2017-04-01,209.348853290829,142.828562164595,164.720626064671,267.066999896634,307.768399756741
"41","Genital herpes","Bayesian structural","2017-2019",2017-05-01,215.779322806309,149.651306408608,167.053868649947,282.952687260073,327.504598744764
"42","Genital herpes","Bayesian structural","2017-2019",2017-06-01,234.236622921335,150.752409349601,175.704167105167,315.689070227769,371.471692808016
"43","Genital herpes","Bayesian structural","2017-2019",2017-07-01,226.26400778537,139.707501798248,164.211706944647,309.334606452486,383.646795912211
"44","Genital herpes","Bayesian structural","2017-2019",2017-08-01,223.659270541851,126.961723413295,157.159841323317,324.492575341178,381.575581864648
"45","Genital herpes","Bayesian structural","2017-2019",2017-09-01,246.03094432635,133.102960256645,172.246275440902,356.919997247869,453.922828613101
"46","Genital herpes","Bayesian structural","2017-2019",2017-10-01,223.0066210696,117.443740172889,149.202209164042,337.959414198358,418.753556570481
"47","Genital herpes","Bayesian structural","2017-2019",2017-11-01,205.671596803235,104.363135238627,131.801187445888,324.477269652526,420.678642941936
"48","Genital herpes","Bayesian structural","2017-2019",2017-12-01,190.342977316341,88.1062684791372,118.365619613313,310.343630667785,405.360265790279
"49","Genital herpes","Bayesian structural","2017-2019",2018-01-01,275.11588265709,121.739720213157,163.242993925309,458.383355063247,683.057620499236
"50","Genital herpes","Bayesian structural","2017-2019",2018-02-01,240.619749694388,96.0530978472716,134.800922353942,437.681837090114,630.771417839305
"51","Genital herpes","Bayesian structural","2017-2019",2018-03-01,294.73885513841,108.155592480372,159.85389470464,539.50762461372,817.387704891416
"52","Genital herpes","Bayesian structural","2017-2019",2018-04-01,261.138281844791,94.5694856923355,134.840913806079,506.732426300924,754.477319844612
"53","Genital herpes","Bayesian structural","2017-2019",2018-05-01,270.975797329394,87.5871235620744,134.487656419271,551.183071010574,857.960487239954
"54","Genital herpes","Bayesian structural","2017-2019",2018-06-01,290.767657567356,88.291826399653,140.540740456843,636.188185501285,1038.28305312447
"55","Genital herpes","Bayesian structural","2017-2019",2018-07-01,281.159490695933,79.6190797805994,128.057093852143,627.385219862526,1041.75348066698
"56","Genital herpes","Bayesian structural","2017-2019",2018-08-01,282.454468734836,72.2218731641342,124.247782042877,664.83049391109,1117.67537802561
"57","Genital herpes","Bayesian structural","2017-2019",2018-09-01,306.550843430948,75.6764782899628,125.331038677202,789.317100356736,1323.47768465481
"58","Genital herpes","Bayesian structural","2017-2019",2018-10-01,279.79532012839,62.3282620399494,107.50400297571,766.161061753386,1407.66561091933
"59","Genital herpes","Bayesian structural","2017-2019",2018-11-01,260.097831246251,53.0462678744245,96.5906126142724,737.403688364214,1334.15250701557
"60","Genital herpes","Bayesian structural","2017-2019",2018-12-01,239.132290114662,40.2819510100739,84.169189959262,707.504272377387,1307.30268073132
"61","Genital herpes","Bayesian structural","2017-2019",2019-01-01,344.751685397495,53.1568039716027,116.171114489382,1099.07209713316,2219.48985547823
"62","Genital herpes","Bayesian structural","2017-2019",2019-02-01,299.322028337361,43.1773696267839,95.6209898868024,992.517217990341,2099.17419573647
"63","Genital herpes","Bayesian structural","2017-2019",2019-03-01,368.532888062245,53.5622205779985,113.377591084645,1326.09511793809,2951.74331272472
"64","Genital herpes","Bayesian structural","2017-2019",2019-04-01,327.435656564015,40.5515791647814,90.8351877412811,1242.69470923034,2639.95453333727
"65","Genital herpes","Bayesian structural","2017-2019",2019-05-01,340.948798448402,38.6268483773981,88.3516480803373,1398.34425359258,3278.73464608868
"66","Genital herpes","Bayesian structural","2017-2019",2019-06-01,367.473647953865,38.263284277904,93.8886756599609,1617.48527412661,3889.40408263791
"67","Genital herpes","Bayesian structural","2017-2019",2019-07-01,352.604048711042,34.0846190939243,83.0829540683803,1554.74297158566,4189.74404362623
"68","Genital herpes","Bayesian structural","2017-2019",2019-08-01,351.985220842413,29.4105059160349,77.6768268618171,1682.44800609397,4610.27165311635
"69","Genital herpes","Bayesian structural","2017-2019",2019-09-01,385.095277809583,32.1992167733213,81.5231084896085,1891.85994729757,5920.81393461042
"70","Genital herpes","Bayesian structural","2017-2019",2019-10-01,350.199273146626,27.2198693223425,65.6030764165668,1918.93149111088,6800.30471785662
"71","Genital herpes","Bayesian structural","2017-2019",2019-11-01,325.4395617499,21.5451583850268,60.8633519814661,1970.44496489886,6674.54254075574
"72","Genital herpes","Bayesian structural","2017-2019",2019-12-01,300.393944452541,19.3304314597535,49.8359792162442,1868.21469189498,6642.27619330775
"73","Genital herpes","SARIMA","2019",2019-01-01,190.299153824695,141.591462810272,156.848636641989,230.88353664848,255.76236891429
"74","Genital herpes","SARIMA","2019",2019-02-01,158.273378400259,116.51676882901,129.548126232683,193.368001828434,214.994481583964
"75","Genital herpes","SARIMA","2019",2019-03-01,170.340725868748,122.231297623185,137.111215942702,211.623554572061,237.385706064762
"76","Genital herpes","SARIMA","2019",2019-04-01,170.358585923145,119.373894988416,135.011745285436,214.959429910163,243.118881230691
"77","Genital herpes","SARIMA","2019",2019-05-01,173.797744284994,119.101802848113,135.746313175047,222.515479146763,253.612079718664
"78","Genital herpes","SARIMA","2019",2019-06-01,170.832975881477,114.634084297699,131.608648238621,221.747628587505,254.583144509901
"79","Genital herpes","SARIMA","2019",2019-07-01,174.338330602417,114.672852834481,132.566493327252,229.272516413387,265.048376890982
"80","Genital herpes","SARIMA","2019",2019-08-01,175.669234894488,113.366382323893,131.923798072966,233.920494552063,272.211915524015
"81","Genital herpes","SARIMA","2019",2019-09-01,171.93510380147,108.948086438309,127.586445183231,231.699220687337,271.337302798443
"82","Genital herpes","SARIMA","2019",2019-10-01,167.229931232063,104.121684241165,122.677916578417,227.961565372725,268.588143802077
"83","Genital herpes","SARIMA","2019",2019-11-01,167.245469408301,102.38267801904,121.338195999831,230.521368865925,273.200970894716
"84","Genital herpes","SARIMA","2019",2019-12-01,147.833729790925,89.0299439613247,106.112859104633,205.958183092082,245.477091094096
"85","Genital herpes","SARIMA","2018-2019",2018-01-01,152.434376560986,113.801506087527,125.917079727206,184.53603917655,204.18217610991
"86","Genital herpes","SARIMA","2018-2019",2018-02-01,156.557276646413,115.491689899894,128.31664161386,191.013266577685,212.224627522435
"87","Genital herpes","SARIMA","2018-2019",2018-03-01,159.443438396411,114.503729109542,128.407198843239,197.98119012553,222.020804434671
"88","Genital herpes","SARIMA","2018-2019",2018-04-01,150.035336856948,105.104128821964,118.883941395999,189.34939438789,214.17429132502
"89","Genital herpes","SARIMA","2018-2019",2018-05-01,167.613022123041,114.723492152125,130.811335208252,214.768277844523,244.885547486349
"90","Genital herpes","SARIMA","2018-2019",2018-06-01,160.396452438093,107.408928133514,123.401754059591,208.481817384068,239.524054487774
"91","Genital herpes","SARIMA","2018-2019",2018-07-01,150.456902918471,98.6849061444786,114.195588038223,198.232523906625,229.389483359049
"92","Genital herpes","SARIMA","2018-2019",2018-08-01,156.130207373389,100.40172361324,116.979865532785,208.383225125402,242.791067495607
"93","Genital herpes","SARIMA","2018-2019",2018-09-01,151.245128697039,95.4375834916837,111.926596285352,204.375811592312,239.68638053977
"94","Genital herpes","SARIMA","2018-2019",2018-10-01,143.433355281725,88.878460917576,104.891904948881,196.136464652824,231.474838728954
"95","Genital herpes","SARIMA","2018-2019",2018-11-01,150.335790178289,91.5389531217407,108.688348228026,207.941791157911,246.89871402039
"96","Genital herpes","SARIMA","2018-2019",2018-12-01,139.659638182442,83.6124492412373,99.8596051275847,195.322367961805,233.276440461345
"97","Genital herpes","SARIMA","2018-2019",2019-01-01,143.068613087723,80.8353672325529,98.4970413167772,207.809572523252,253.213769561521
"98","Genital herpes","SARIMA","2018-2019",2019-02-01,146.027196274953,80.595990080123,99.0051865725801,215.382070274583,264.578200859929
"99","Genital herpes","SARIMA","2018-2019",2019-03-01,146.987009392378,78.8943666493954,97.8550220004637,220.787655946904,273.849475541492
"100","Genital herpes","SARIMA","2018-2019",2019-04-01,142.69369482133,74.5726005907568,93.3531543910351,218.1125070126,273.04251669462
