"","disease","Method","split","date","mean","lower_95","lower_80","upper_80","upper_95"
"1","Gonorrhoea","Neural Network","2019",2019-01-01,939.110521150334,NA,NA,NA,NA
"2","Gonorrhoea","Neural Network","2019",2019-02-01,849.813084083955,NA,NA,NA,NA
"3","Gonorrhoea","Neural Network","2019",2019-03-01,853.41857104683,NA,NA,NA,NA
"4","Gonorrhoea","Neural Network","2019",2019-04-01,826.289131933487,NA,NA,NA,NA
"5","Gonorrhoea","Neural Network","2019",2019-05-01,830.697406715639,NA,NA,NA,NA
"6","Gonorrhoea","Neural Network","2019",2019-06-01,828.742254211456,NA,NA,NA,NA
"7","Gonorrhoea","Neural Network","2019",2019-07-01,818.038243950705,NA,NA,NA,NA
"8","Gonorrhoea","Neural Network","2019",2019-08-01,816.199315722326,NA,NA,NA,NA
"9","Gonorrhoea","Neural Network","2019",2019-09-01,812.226851066657,NA,NA,NA,NA
"10","Gonorrhoea","Neural Network","2019",2019-10-01,810.098455401648,NA,NA,NA,NA
"11","Gonorrhoea","Neural Network","2019",2019-11-01,805.941138673456,NA,NA,NA,NA
"12","Gonorrhoea","Neural Network","2019",2019-12-01,788.602667947478,NA,NA,NA,NA
"13","Gonorrhoea","Neural Network","2018-2019",2018-01-01,883.193161739012,NA,NA,NA,NA
"14","Gonorrhoea","Neural Network","2018-2019",2018-02-01,812.169114902453,NA,NA,NA,NA
"15","Gonorrhoea","Neural Network","2018-2019",2018-03-01,892.388306742894,NA,NA,NA,NA
"16","Gonorrhoea","Neural Network","2018-2019",2018-04-01,866.540451907667,NA,NA,NA,NA
"17","Gonorrhoea","Neural Network","2018-2019",2018-05-01,805.826899947505,NA,NA,NA,NA
"18","Gonorrhoea","Neural Network","2018-2019",2018-06-01,895.328760854323,NA,NA,NA,NA
"19","Gonorrhoea","Neural Network","2018-2019",2018-07-01,844.797318987848,NA,NA,NA,NA
"20","Gonorrhoea","Neural Network","2018-2019",2018-08-01,833.049982584982,NA,NA,NA,NA
"21","Gonorrhoea","Neural Network","2018-2019",2018-09-01,833.453458626054,NA,NA,NA,NA
"22","Gonorrhoea","Neural Network","2018-2019",2018-10-01,857.560774114796,NA,NA,NA,NA
"23","Gonorrhoea","Neural Network","2018-2019",2018-11-01,781.86667300251,NA,NA,NA,NA
"24","Gonorrhoea","Neural Network","2018-2019",2018-12-01,680.182454845782,NA,NA,NA,NA
"25","Gonorrhoea","Neural Network","2018-2019",2019-01-01,919.510923361652,NA,NA,NA,NA
"26","Gonorrhoea","Neural Network","2018-2019",2019-02-01,841.443148463477,NA,NA,NA,NA
"27","Gonorrhoea","Neural Network","2018-2019",2019-03-01,935.691010180235,NA,NA,NA,NA
"28","Gonorrhoea","Neural Network","2018-2019",2019-04-01,926.436617350974,NA,NA,NA,NA
"29","Gonorrhoea","Neural Network","2018-2019",2019-05-01,849.941605747879,NA,NA,NA,NA
"30","Gonorrhoea","Neural Network","2018-2019",2019-06-01,942.305865787236,NA,NA,NA,NA
"31","Gonorrhoea","Neural Network","2018-2019",2019-07-01,884.960249420627,NA,NA,NA,NA
"32","Gonorrhoea","Neural Network","2018-2019",2019-08-01,891.396777410863,NA,NA,NA,NA
"33","Gonorrhoea","Neural Network","2018-2019",2019-09-01,867.214877896653,NA,NA,NA,NA
"34","Gonorrhoea","Neural Network","2018-2019",2019-10-01,869.908723284587,NA,NA,NA,NA
"35","Gonorrhoea","Neural Network","2018-2019",2019-11-01,793.347469854597,NA,NA,NA,NA
"36","Gonorrhoea","Neural Network","2018-2019",2019-12-01,701.648527158306,NA,NA,NA,NA
"37","Gonorrhoea","Neural Network","2017-2019",2017-01-01,898.758938310704,NA,NA,NA,NA
"38","Gonorrhoea","Neural Network","2017-2019",2017-02-01,811.937051279796,NA,NA,NA,NA
"39","Gonorrhoea","Neural Network","2017-2019",2017-03-01,836.257434922046,NA,NA,NA,NA
"40","Gonorrhoea","Neural Network","2017-2019",2017-04-01,813.804471266274,NA,NA,NA,NA
