"","disease","Method","split","date","mean","lower_95","lower_80","upper_80","upper_95"
"1","HBV","Neural Network","2019",2019-01-01,798.268536728115,NA,NA,NA,NA
"2","HBV","Neural Network","2019",2019-02-01,596.246863795925,NA,NA,NA,NA
"3","HBV","Neural Network","2019",2019-03-01,682.222483214359,NA,NA,NA,NA
"4","HBV","Neural Network","2019",2019-04-01,561.903314012306,NA,NA,NA,NA
"5","HBV","Neural Network","2019",2019-05-01,674.741531017494,NA,NA,NA,NA
"6","HBV","Neural Network","2019",2019-06-01,577.964654508133,NA,NA,NA,NA
"7","HBV","Neural Network","2019",2019-07-01,521.935166655093,NA,NA,NA,NA
"8","HBV","Neural Network","2019",2019-08-01,586.897977096854,NA,NA,NA,NA
"9","HBV","Neural Network","2019",2019-09-01,536.886152174949,NA,NA,NA,NA
"10","HBV","Neural Network","2019",2019-10-01,631.924565629461,NA,NA,NA,NA
"11","HBV","Neural Network","2019",2019-11-01,548.029760033486,NA,NA,NA,NA
"12","HBV","Neural Network","2019",2019-12-01,468.443571361768,NA,NA,NA,NA
"13","HBV","Neural Network","2018-2019",2018-01-01,825.242700996912,NA,NA,NA,NA
"14","HBV","Neural Network","2018-2019",2018-02-01,740.473347819239,NA,NA,NA,NA
"15","HBV","Neural Network","2018-2019",2018-03-01,764.532000894735,NA,NA,NA,NA
"16","HBV","Neural Network","2018-2019",2018-04-01,693.500620562777,NA,NA,NA,NA
"17","HBV","Neural Network","2018-2019",2018-05-01,706.071853451287,NA,NA,NA,NA
"18","HBV","Neural Network","2018-2019",2018-06-01,654.049673478908,NA,NA,NA,NA
"19","HBV","Neural Network","2018-2019",2018-07-01,637.793731273051,NA,NA,NA,NA
"20","HBV","Neural Network","2018-2019",2018-08-01,618.360006465663,NA,NA,NA,NA
"21","HBV","Neural Network","2018-2019",2018-09-01,574.748788890591,NA,NA,NA,NA
"22","HBV","Neural Network","2018-2019",2018-10-01,569.966799077543,NA,NA,NA,NA
"23","HBV","Neural Network","2018-2019",2018-11-01,524.689889150573,NA,NA,NA,NA
"24","HBV","Neural Network","2018-2019",2018-12-01,475.561342491117,NA,NA,NA,NA
"25","HBV","Neural Network","2018-2019",2019-01-01,817.321816189524,NA,NA,NA,NA
"26","HBV","Neural Network","2018-2019",2019-02-01,730.503105223646,NA,NA,NA,NA
"27","HBV","Neural Network","2018-2019",2019-03-01,761.05931499418,NA,NA,NA,NA
"28","HBV","Neural Network","2018-2019",2019-04-01,727.920678971871,NA,NA,NA,NA
"29","HBV","Neural Network","2018-2019",2019-05-01,727.334186581324,NA,NA,NA,NA
"30","HBV","Neural Network","2018-2019",2019-06-01,704.71892743233,NA,NA,NA,NA
"31","HBV","Neural Network","2018-2019",2019-07-01,691.444515979606,NA,NA,NA,NA
"32","HBV","Neural Network","2018-2019",2019-08-01,673.799448738897,NA,NA,NA,NA
"33","HBV","Neural Network","2018-2019",2019-09-01,628.361353212007,NA,NA,NA,NA
"34","HBV","Neural Network","2018-2019",2019-10-01,605.228720811245,NA,NA,NA,NA
"35","HBV","Neural Network","2018-2019",2019-11-01,554.620865794843,NA,NA,NA,NA
"36","HBV","Neural Network","2018-2019",2019-12-01,513.58502865072,NA,NA,NA,NA
