"","disease","Method","split","date","mean","lower_95","lower_80","upper_80","upper_95"
"1","Leptospirosis","Neural Network","2019",2019-01-01,183.836015660442,NA,NA,NA,NA
"2","Leptospirosis","Neural Network","2019",2019-02-01,166.146881403955,NA,NA,NA,NA
"3","Leptospirosis","Neural Network","2019",2019-03-01,158.993444128593,NA,NA,NA,NA
"4","Leptospirosis","Neural Network","2019",2019-04-01,160.351780305505,NA,NA,NA,NA
"5","Leptospirosis","Neural Network","2019",2019-05-01,177.74019182677,NA,NA,NA,NA
"6","Leptospirosis","Neural Network","2019",2019-06-01,226.270641444542,NA,NA,NA,NA
"7","Leptospirosis","Neural Network","2019",2019-07-01,289.735272555589,NA,NA,NA,NA
"8","Leptospirosis","Neural Network","2019",2019-08-01,361.562051615108,NA,NA,NA,NA
"9","Leptospirosis","Neural Network","2019",2019-09-01,417.056680778185,NA,NA,NA,NA
"10","Leptospirosis","Neural Network","2019",2019-10-01,397.988070303437,NA,NA,NA,NA
"11","Leptospirosis","Neural Network","2019",2019-11-01,274.551902022698,NA,NA,NA,NA
"12","Leptospirosis","Neural Network","2019",2019-12-01,206.105409987614,NA,NA,NA,NA
"13","Leptospirosis","Neural Network","2018-2019",2018-01-01,229.308516953932,NA,NA,NA,NA
"14","Leptospirosis","Neural Network","2018-2019",2018-02-01,197.475720247014,NA,NA,NA,NA
"15","Leptospirosis","Neural Network","2018-2019",2018-03-01,178.739204983042,NA,NA,NA,NA
"16","Leptospirosis","Neural Network","2018-2019",2018-04-01,167.458758838259,NA,NA,NA,NA
"17","Leptospirosis","Neural Network","2018-2019",2018-05-01,171.044979843259,NA,NA,NA,NA
"18","Leptospirosis","Neural Network","2018-2019",2018-06-01,217.116211629026,NA,NA,NA,NA
"19","Leptospirosis","Neural Network","2018-2019",2018-07-01,289.60355512361,NA,NA,NA,NA
"20","Leptospirosis","Neural Network","2018-2019",2018-08-01,371.392952105387,NA,NA,NA,NA
"21","Leptospirosis","Neural Network","2018-2019",2018-09-01,420.519557065193,NA,NA,NA,NA
"22","Leptospirosis","Neural Network","2018-2019",2018-10-01,508.856802316081,NA,NA,NA,NA
"23","Leptospirosis","Neural Network","2018-2019",2018-11-01,388.819097440895,NA,NA,NA,NA
"24","Leptospirosis","Neural Network","2018-2019",2018-12-01,314.728800343456,NA,NA,NA,NA
"25","Leptospirosis","Neural Network","2018-2019",2019-01-01,229.733894187091,NA,NA,NA,NA
"26","Leptospirosis","Neural Network","2018-2019",2019-02-01,198.45124372661,NA,NA,NA,NA
"27","Leptospirosis","Neural Network","2018-2019",2019-03-01,186.513647217199,NA,NA,NA,NA
"28","Leptospirosis","Neural Network","2018-2019",2019-04-01,182.386621131263,NA,NA,NA,NA
"29","Leptospirosis","Neural Network","2018-2019",2019-05-01,183.426347920605,NA,NA,NA,NA
"30","Leptospirosis","Neural Network","2018-2019",2019-06-01,197.816430331897,NA,NA,NA,NA
"31","Leptospirosis","Neural Network","2018-2019",2019-07-01,239.911110534153,NA,NA,NA,NA
"32","Leptospirosis","Neural Network","2018-2019",2019-08-01,300.912988676228,NA,NA,NA,NA
"33","Leptospirosis","Neural Network","2018-2019",2019-09-01,379.969769791172,NA,NA,NA,NA
"34","Leptospirosis","Neural Network","2018-2019",2019-10-01,472.588560447405,NA,NA,NA,NA
"35","Leptospirosis","Neural Network","2018-2019",2019-11-01,471.885415740975,NA,NA,NA,NA
"36","Leptospirosis","Neural Network","2018-2019",2019-12-01,370.25058564013,NA,NA,NA,NA
"37","Leptospirosis","Neural Network","2017-2019",2017-01-01,159.700945399549,NA,NA,NA,NA
"38","Leptospirosis","Neural Network","2017-2019",2017-02-01,153.715809907893,NA,NA,NA,NA
