"","disease","Method","split","date","mean","lower_95","lower_80","upper_80","upper_95"
"1","Syphilis","Neural Network","2019",2019-01-01,2273.56174701032,NA,NA,NA,NA
"2","Syphilis","Neural Network","2019",2019-02-01,1445.78502687663,NA,NA,NA,NA
"3","Syphilis","Neural Network","2019",2019-03-01,2613.80261220303,NA,NA,NA,NA
"4","Syphilis","Neural Network","2019",2019-04-01,933.044647660146,NA,NA,NA,NA
"5","Syphilis","Neural Network","2019",2019-05-01,2290.0387581497,NA,NA,NA,NA
"6","Syphilis","Neural Network","2019",2019-06-01,1385.49859689489,NA,NA,NA,NA
"7","Syphilis","Neural Network","2019",2019-07-01,1618.97211190685,NA,NA,NA,NA
"8","Syphilis","Neural Network","2019",2019-08-01,2386.08072479345,NA,NA,NA,NA
"9","Syphilis","Neural Network","2019",2019-09-01,954.154212727717,NA,NA,NA,NA
"10","Syphilis","Neural Network","2019",2019-10-01,1097.8666625799,NA,NA,NA,NA
"11","Syphilis","Neural Network","2019",2019-11-01,1187.11181127479,NA,NA,NA,NA
"12","Syphilis","Neural Network","2019",2019-12-01,787.593625533245,NA,NA,NA,NA
"13","Syphilis","Neural Network","2018-2019",2018-01-01,396.596896808986,NA,NA,NA,NA
"14","Syphilis","Neural Network","2018-2019",2018-02-01,430.349756249002,NA,NA,NA,NA
"15","Syphilis","Neural Network","2018-2019",2018-03-01,462.782677360155,NA,NA,NA,NA
"16","Syphilis","Neural Network","2018-2019",2018-04-01,458.886342008414,NA,NA,NA,NA
"17","Syphilis","Neural Network","2018-2019",2018-05-01,476.73438977769,NA,NA,NA,NA
"18","Syphilis","Neural Network","2018-2019",2018-06-01,477.986747182805,NA,NA,NA,NA
"19","Syphilis","Neural Network","2018-2019",2018-07-01,467.604085975394,NA,NA,NA,NA
"20","Syphilis","Neural Network","2018-2019",2018-08-01,476.294568951926,NA,NA,NA,NA
"21","Syphilis","Neural Network","2018-2019",2018-09-01,468.370131715633,NA,NA,NA,NA
"22","Syphilis","Neural Network","2018-2019",2018-10-01,471.427446793155,NA,NA,NA,NA
"23","Syphilis","Neural Network","2018-2019",2018-11-01,471.392335331053,NA,NA,NA,NA
"24","Syphilis","Neural Network","2018-2019",2018-12-01,438.119429605708,NA,NA,NA,NA
"25","Syphilis","Neural Network","2018-2019",2019-01-01,446.709991311376,NA,NA,NA,NA
"26","Syphilis","Neural Network","2018-2019",2019-02-01,458.860682075975,NA,NA,NA,NA
"27","Syphilis","Neural Network","2018-2019",2019-03-01,470.830641130354,NA,NA,NA,NA
"28","Syphilis","Neural Network","2018-2019",2019-04-01,474.950579152492,NA,NA,NA,NA
"29","Syphilis","Neural Network","2018-2019",2019-05-01,480.110547629349,NA,NA,NA,NA
"30","Syphilis","Neural Network","2018-2019",2019-06-01,482.269569397332,NA,NA,NA,NA
"31","Syphilis","Neural Network","2018-2019",2019-07-01,480.896715299052,NA,NA,NA,NA
"32","Syphilis","Neural Network","2018-2019",2019-08-01,482.214655017818,NA,NA,NA,NA
"33","Syphilis","Neural Network","2018-2019",2019-09-01,481.04038392678,NA,NA,NA,NA
"34","Syphilis","Neural Network","2018-2019",2019-10-01,481.274150318763,NA,NA,NA,NA
"35","Syphilis","Neural Network","2018-2019",2019-11-01,481.348409526134,NA,NA,NA,NA
"36","Syphilis","Neural Network","2018-2019",2019-12-01,473.841338370396,NA,NA,NA,NA
"37","Syphilis","Neural Network","2017-2019",2017-01-01,225.573473576071,NA,NA,NA,NA
"38","Syphilis","Neural Network","2017-2019",2017-02-01,239.337483724768,NA,NA,NA,NA
"39","Syphilis","Neural Network","2017-2019",2017-03-01,259.631514034999,NA,NA,NA,NA
"40","Syphilis","Neural Network","2017-2019",2017-04-01,270.355602897204,NA,NA,NA,NA
"41","Syphilis","Neural Network","2017-2019",2017-05-01,286.628547845919,NA,NA,NA,NA
"42","Syphilis","Neural Network","2017-2019",2017-06-01,305.577341066781,NA,NA,NA,NA
"43","Syphilis","Neural Network","2017-2019",2017-07-01,319.140304421044,NA,NA,NA,NA
"44","Syphilis","Neural Network","2017-2019",2017-08-01,328.210627672034,NA,NA,NA,NA
"45","Syphilis","Neural Network","2017-2019",2017-09-01,330.708420113519,NA,NA,NA,NA
"46","Syphilis","Neural Network","2017-2019",2017-10-01,333.035806178868,NA,NA,NA,NA
"47","Syphilis","Neural Network","2017-2019",2017-11-01,329.074563728367,NA,NA,NA,NA
"48","Syphilis","Neural Network","2017-2019",2017-12-01,312.194681603574,NA,NA,NA,NA
"49","Syphilis","Neural Network","2017-2019",2018-01-01,303.589389224008,NA,NA,NA,NA
"50","Syphilis","Neural Network","2017-2019",2018-02-01,299.517289984893,NA,NA,NA,NA
"51","Syphilis","Neural Network","2017-2019",2018-03-01,299.903792847868,NA,NA,NA,NA
"52","Syphilis","Neural Network","2017-2019",2018-04-01,302.043186224706,NA,NA,NA,NA
"53","Syphilis","Neural Network","2017-2019",2018-05-01,306.353784742179,NA,NA,NA,NA
"54","Syphilis","Neural Network","2017-2019",2018-06-01,312.452293276915,NA,NA,NA,NA
"55","Syphilis","Neural Network","2017-2019",2018-07-01,318.766763206542,NA,NA,NA,NA
"56","Syphilis","Neural Network","2017-2019",2018-08-01,324.32592668753,NA,NA,NA,NA
"57","Syphilis","Neural Network","2017-2019",2018-09-01,328.364152948021,NA,NA,NA,NA
"58","Syphilis","Neural Network","2017-2019",2018-10-01,331.241441616068,NA,NA,NA,NA
"59","Syphilis","Neural Network","2017-2019",2018-11-01,332.637408461521,NA,NA,NA,NA
"60","Syphilis","Neural Network","2017-2019",2018-12-01,331.611328326392,NA,NA,NA,NA
"61","Syphilis","Neural Network","2017-2019",2019-01-01,329.918845564048,NA,NA,NA,NA
"62","Syphilis","Neural Network","2017-2019",2019-02-01,328.315077312444,NA,NA,NA,NA
"63","Syphilis","Neural Network","2017-2019",2019-03-01,327.317846394753,NA,NA,NA,NA
"64","Syphilis","Neural Network","2017-2019",2019-04-01,326.935549478045,NA,NA,NA,NA
"65","Syphilis","Neural Network","2017-2019",2019-05-01,327.227869829782,NA,NA,NA,NA
"66","Syphilis","Neural Network","2017-2019",2019-06-01,328.168905068019,NA,NA,NA,NA
"67","Syphilis","Neural Network","2017-2019",2019-07-01,329.528638233554,NA,NA,NA,NA
"68","Syphilis","Neural Network","2017-2019",2019-08-01,331.034586662252,NA,NA,NA,NA
"69","Syphilis","Neural Network","2017-2019",2019-09-01,332.43107101411,NA,NA,NA,NA
"70","Syphilis","Neural Network","2017-2019",2019-10-01,333.609043812384,NA,NA,NA,NA
"71","Syphilis","Neural Network","2017-2019",2019-11-01,334.480341728075,NA,NA,NA,NA
"72","Syphilis","Neural Network","2017-2019",2019-12-01,334.905212525424,NA,NA,NA,NA
"73","Syphilis","Hybrid","2019",2019-01-01,1002.74647084212,544.004267096496,590.84322339793,2488.01823269979,2616.43851755026
"74","Syphilis","Hybrid","2019",2019-02-01,847.330929556703,513.9804617088,570.741878661592,1669.83418187138,1798.73192882451
"75","Syphilis","Hybrid","2019",2019-03-01,1053.15479772692,495.093443460562,555.586267946468,2847.20741665579,2957.22288420853
