Shortname,Group,FreezeDate,ValidationEnd,WindowLabel,FrozenStatus,FrozenStatusLabel,FrozenPrRP,FrozenPrBP,FrozenFrameworkPriority,FrozenIncidenceOnly,RealizedStatus,RealizedStatusLabel,RealizedFrameworkPriority,LaterReviewNeed,FrameworkNeedsReview,IncidenceOnlyNeedsReview,FrameworkDecisionAcc,IncidenceDecisionAcc,AvertedUnderTriage,FrozenShiftVsPre,FrozenShiftVsPred,RealizedShiftVsPre,RealizedShiftVsPred,FrozenRPMonths,FrozenBPMonths,RealizedRPMonths,RealizedBPMonths,ProbabilityPathsUsed,FreezeDateLabel,PriorityRank
Pneumonia,Respiratory IDs,2023-12-01,2024-12-01,Freeze 2023-12 to 2024-12,Recovered,Recovered but not balanced,0.828,0.04,Cumulative review needed,Routine by incidence only,Recovered,Recovered but not balanced,Cumulative review needed,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,1,1,0,0,34,NA,34,NA,400,2023-12,3
Influenza,Respiratory IDs,2023-12-01,2024-12-01,Freeze 2023-12 to 2024-12,Recovered,Recovered but not balanced,1,0,Cumulative review needed,Routine by incidence only,Recovered,Recovered but not balanced,Cumulative review needed,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,1,0,0,-1,44,NA,44,NA,400,2023-12,3
Chickenpox,Respiratory IDs,2023-12-01,2024-12-01,Freeze 2023-12 to 2024-12,Suppressed,Suppressed,0.252,0,High priority manual review,Needs review by incidence only,Suppressed,Suppressed,High priority manual review,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,-1,-1,-5,-5,NA,NA,NA,NA,400,2023-12,1
Mumps,Respiratory IDs,2023-12-01,2024-12-01,Freeze 2023-12 to 2024-12,Suppressed,Suppressed,0,0,High priority manual review,Needs review by incidence only,Suppressed,Suppressed,High priority manual review,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,2,-5,5,NA,NA,NA,NA,400,2023-12,1
Scarlet fever,Respiratory IDs,2023-12-01,2024-12-01,Freeze 2023-12 to 2024-12,Suppressed,Suppressed,0.26,0.028,High priority manual review,Needs review by incidence only,Suppressed,Suppressed,High priority manual review,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,3,3,3,3,NA,NA,NA,NA,400,2023-12,1
Rubella,Respiratory IDs,2023-12-01,2024-12-01,Freeze 2023-12 to 2024-12,Suppressed,Suppressed,0,0,High priority manual review,Needs review by incidence only,Suppressed,Suppressed,High priority manual review,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,3,2,3,2,NA,NA,NA,NA,400,2023-12,1
Dengue fever,Vector-borne and zoonotic IDs,2023-12-01,2024-12-01,Freeze 2023-12 to 2024-12,Recovered,Recovered but not balanced,0.725,0.288,Cumulative review needed,Routine by incidence only,Recovered,Recovered but not balanced,Cumulative review needed,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,1,1,0,0,35,NA,35,NA,400,2023-12,3
Malaria,Vector-borne and zoonotic IDs,2023-12-01,2024-12-01,Freeze 2023-12 to 2024-12,No Deficit,No deficit,0.478,0.478,No deficit monitoring,No deficit monitoring,No Deficit,No deficit,No deficit monitoring,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,0,0,NA,NA,NA,NA,400,2023-12,6
Scrub Typhus,Vector-borne and zoonotic IDs,2023-12-01,2024-12-01,Freeze 2023-12 to 2024-12,Recovered,Recovered but not balanced,1,0,Cumulative review needed,Routine by incidence only,Debt Repaid,Balanced,Low priority routine review,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,28,NA,28,50,400,2023-12,3
Leptospirosis,Vector-borne and zoonotic IDs,2023-12-01,2024-12-01,Freeze 2023-12 to 2024-12,Debt Repaid,Balanced,0.853,0.718,Low priority routine review,Routine by incidence only,Debt Repaid,Balanced,Low priority routine review,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,0,0,11,32,11,32,400,2023-12,5
Melioidosis,Vector-borne and zoonotic IDs,2023-12-01,2024-12-01,Freeze 2023-12 to 2024-12,Debt Repaid,Balanced,1,0.993,Low priority routine review,Routine by incidence only,Debt Repaid,Balanced,Low priority routine review,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,-1,-1,28,36,28,36,400,2023-12,5
S. suis,Vector-borne and zoonotic IDs,2023-12-01,2024-12-01,Freeze 2023-12 to 2024-12,Debt Repaid,Balanced,1,1,Low priority routine review,Routine by incidence only,Debt Repaid,Balanced,Low priority routine review,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,1,0,0,5,7,5,7,400,2023-12,5
HFMD,Gastrointestinal IDs,2023-12-01,2024-12-01,Freeze 2023-12 to 2024-12,Debt Repaid,Balanced,1,0.807,Low priority routine review,Routine by incidence only,Debt Repaid,Balanced,Low priority routine review,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,0,1,0,9,33,9,33,400,2023-12,5
Amebiasis,Gastrointestinal IDs,2023-12-01,2024-12-01,Freeze 2023-12 to 2024-12,Debt Repaid,Balanced,0.67,0.445,Low priority routine review,Routine by incidence only,Debt Repaid,Balanced,Low priority routine review,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,-1,-1,0,0,29,35,29,35,400,2023-12,5
Shigellosis,Gastrointestinal IDs,2023-12-01,2024-12-01,Freeze 2023-12 to 2024-12,Recovered,Recovered but not balanced,0.608,0.268,Cumulative review needed,Routine by incidence only,Recovered,Recovered but not balanced,Cumulative review needed,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,1,1,1,1,31,NA,31,NA,400,2023-12,3
Typhoid,Gastrointestinal IDs,2023-12-01,2024-12-01,Freeze 2023-12 to 2024-12,Recovered,Recovered but not balanced,1,0,Cumulative review needed,Routine by incidence only,Debt Repaid,Balanced,Recovered but recalibrate seasonality,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,1,0,-1,-2,30,NA,30,54,400,2023-12,3
