disease,file_name,remote_url,remote_size,local_path,local_exists,local_size,tag,download_result
DHF Total,tmcd_DHF_Total_46.rtf,http://doe1.moph.go.th/surdata/y46/tmcd_DHF_Total_46.rtf,,Code/Data/GetData/DHF Total/tmcd_DHF_Total_46.rtf,yes,118693,skip,
DHF Total,tmcd_DHF_Total_47.rtf,http://doe1.moph.go.th/surdata/y47/tmcd_DHF_Total_47.rtf,,Code/Data/GetData/DHF Total/tmcd_DHF_Total_47.rtf,yes,118413,skip,
DHF Total,tmcd_DHF_Total_48.rtf,http://doe1.moph.go.th/surdata/y48/tmcd_DHF_Total_48.rtf,,Code/Data/GetData/DHF Total/tmcd_DHF_Total_48.rtf,yes,118511,skip,
DHF Total,tmcd_DHF_Total_49.rtf,http://doe1.moph.go.th/surdata/y49/tmcd_DHF_Total_49.rtf,,Code/Data/GetData/DHF Total/tmcd_DHF_Total_49.rtf,yes,118450,skip,
DHF Total,tmcd_DHF_Total_50.rtf,http://doe1.moph.go.th/surdata/y50/tmcd_DHF_Total_50.rtf,,Code/Data/GetData/DHF Total/tmcd_DHF_Total_50.rtf,yes,118681,skip,
DHF Total,tmcd_DHF_Total_51.rtf,http://doe1.moph.go.th/surdata/y51/tmcd_DHF_Total_51.rtf,,Code/Data/GetData/DHF Total/tmcd_DHF_Total_51.rtf,yes,117686,skip,
DHF Total,tmcd_DHF_Total_52.rtf,http://doe1.moph.go.th/surdata/y52/tmcd_DHF_Total_52.rtf,,Code/Data/GetData/DHF Total/tmcd_DHF_Total_52.rtf,yes,117453,skip,
DHF Total,tmcd_DHF_Total_53.rtf,http://doe1.moph.go.th/surdata/y53/tmcd_DHF_Total_53.rtf,,Code/Data/GetData/DHF Total/tmcd_DHF_Total_53.rtf,yes,118915,skip,
DHF Total,tmcd_DHF_Total_54.rtf,http://doe1.moph.go.th/surdata/y54/tmcd_DHF_Total_54.rtf,,Code/Data/GetData/DHF Total/tmcd_DHF_Total_54.rtf,yes,119719,skip,
DHF Total,tmcd_DHF_Total_55.rtf,http://doe1.moph.go.th/surdata/y55/tmcd_DHF_Total_55.rtf,,Code/Data/GetData/DHF Total/tmcd_DHF_Total_55.rtf,yes,119890,skip,
DHF Total,tmcd_DHF_Total_56.rtf,http://doe1.moph.go.th/surdata/y56/tmcd_DHF_Total_56.rtf,,Code/Data/GetData/DHF Total/tmcd_DHF_Total_56.rtf,yes,120208,skip,
DHF Total,tmcd_DHF_Total_57.rtf,http://doe1.moph.go.th/surdata/y57/tmcd_DHF_Total_57.rtf,,Code/Data/GetData/DHF Total/tmcd_DHF_Total_57.rtf,yes,107785,skip,
DHF Total,tmcd_DHF_Total_58.rtf,http://doe1.moph.go.th/surdata/y58/tmcd_DHF_Total_58.rtf,,Code/Data/GetData/DHF Total/tmcd_DHF_Total_58.rtf,yes,108359,skip,
DHF Total,tmcd_DHF_Total_59.rtf,http://doe1.moph.go.th/surdata/y59/tmcd_DHF_Total_59.rtf,,Code/Data/GetData/DHF Total/tmcd_DHF_Total_59.rtf,yes,107990,skip,
DHF Total,tmcd_DHF_Total_60.rtf,http://doe1.moph.go.th/surdata/y60/tmcd_DHF_Total_60.rtf,,Code/Data/GetData/DHF Total/tmcd_DHF_Total_60.rtf,yes,107871,skip,
DHF Total,tmcd_DHF_Total_61.rtf,http://doe1.moph.go.th/surdata/y61/tmcd_DHF_Total_61.rtf,,Code/Data/GetData/DHF Total/tmcd_DHF_Total_61.rtf,yes,108150,skip,
